account_id,account_district_id,account_frequency
2647,73,monthly issuance
2241,6,monthly issuance
5622,70,monthly issuance
2884,1,monthly issuance
1830,10,monthly issuance
7753,74,monthly issuance
244,24,monthly issuance
1477,1,monthly issuance
4240,50,monthly issuance
1006,6,monthly issuance
830,74,monthly issuance
9188,45,monthly issuance
1965,57,issuance after transaction
1134,6,monthly issuance
1601,10,monthly issuance
2861,38,monthly issuance
813,16,monthly issuance
2585,75,monthly issuance
2220,16,monthly issuance
2763,64,monthly issuance
2342,51,monthly issuance
1944,72,monthly issuance
1966,27,monthly issuance
1801,46,monthly issuance
2543,68,monthly issuance
2293,31,monthly issuance
11013,1,weekly issuance
2423,30,monthly issuance
142,51,monthly issuance
3424,74,monthly issuance
539,13,issuance after transaction
979,21,monthly issuance
3554,66,monthly issuance
3545,51,monthly issuance
3047,16,monthly issuance
3374,21,monthly issuance
96,68,monthly issuance
461,30,monthly issuance
3593,1,monthly issuance
3026,24,monthly issuance
1054,10,monthly issuance
2433,71,monthly issuance
3691,50,monthly issuance
3787,70,monthly issuance
128,2,monthly issuance
3168,39,monthly issuance
4937,12,monthly issuance
2124,69,monthly issuance
322,1,monthly issuance
4355,31,monthly issuance
1678,1,monthly issuance
2396,2,monthly issuance
1005,54,weekly issuance
697,28,monthly issuance
925,59,monthly issuance
2110,64,monthly issuance
1366,60,monthly issuance
1050,57,issuance after transaction
3117,33,monthly issuance
562,50,monthly issuance
5369,54,monthly issuance
2242,7,weekly issuance
197,1,monthly issuance
496,69,monthly issuance
2,1,monthly issuance
7401,1,monthly issuance
2486,1,monthly issuance
428,1,monthly issuance
3651,23,monthly issuance
1775,17,monthly issuance
1688,70,monthly issuance
361,51,monthly issuance
1829,43,monthly issuance
1575,1,monthly issuance
9203,70,monthly issuance
3008,72,monthly issuance
239,69,weekly issuance
3302,21,monthly issuance
415,25,monthly issuance
3513,20,monthly issuance
4134,7,monthly issuance
1077,14,monthly issuance
1713,43,monthly issuance
1378,59,monthly issuance
2503,1,monthly issuance
559,46,monthly issuance
6555,38,weekly issuance
744,42,monthly issuance
882,9,monthly issuance
86,54,monthly issuance
1126,56,monthly issuance
2666,49,monthly issuance
944,70,monthly issuance
1545,1,monthly issuance
2453,1,monthly issuance
3734,43,monthly issuance
3935,23,monthly issuance
396,21,monthly issuance
2694,7,monthly issuance
4596,74,monthly issuance
2489,72,monthly issuance
2895,19,monthly issuance
317,76,monthly issuance
2555,53,monthly issuance
494,60,monthly issuance
2219,60,monthly issuance
2581,72,monthly issuance
112,6,monthly issuance
3674,38,monthly issuance
2039,44,monthly issuance
2712,9,monthly issuance
395,1,monthly issuance
2974,9,monthly issuance
123,21,monthly issuance
9640,1,monthly issuance
3108,53,monthly issuance
2508,34,monthly issuance
2458,40,weekly issuance
588,66,monthly issuance
7231,10,monthly issuance
6701,49,weekly issuance
3883,72,monthly issuance
222,37,monthly issuance
2497,65,monthly issuance
1372,1,monthly issuance
3835,50,monthly issuance
7445,64,monthly issuance
2527,38,monthly issuance
425,9,monthly issuance
860,1,monthly issuance
6034,6,weekly issuance
11065,11,monthly issuance
9883,1,monthly issuance
115,68,monthly issuance
1189,59,monthly issuance
3675,64,monthly issuance
3069,66,monthly issuance
2762,19,monthly issuance
892,70,monthly issuance
1535,46,monthly issuance
2618,60,monthly issuance
2651,2,monthly issuance
5442,34,monthly issuance
1787,30,weekly issuance
1397,17,monthly issuance
3785,10,monthly issuance
623,1,monthly issuance
8260,31,monthly issuance
3678,1,monthly issuance
3001,1,monthly issuance
655,53,monthly issuance
4093,1,monthly issuance
3260,68,monthly issuance
2528,65,monthly issuance
2011,75,monthly issuance
1721,68,monthly issuance
1332,59,monthly issuance
1402,74,monthly issuance
3283,68,monthly issuance
3781,31,monthly issuance
7203,71,monthly issuance
1065,72,monthly issuance
3076,54,monthly issuance
4347,1,monthly issuance
1157,7,monthly issuance
9403,1,weekly issuance
1874,9,monthly issuance
1115,34,monthly issuance
3586,59,monthly issuance
62,47,monthly issuance
1771,69,monthly issuance
5483,13,monthly issuance
8330,48,monthly issuance
187,5,monthly issuance
423,12,monthly issuance
6425,31,monthly issuance
2493,62,monthly issuance
2896,29,monthly issuance
2245,29,monthly issuance
3923,52,monthly issuance
1898,70,monthly issuance
3367,1,monthly issuance
3391,74,monthly issuance
8519,23,monthly issuance
1780,1,monthly issuance
3915,65,monthly issuance
3980,75,monthly issuance
4350,63,monthly issuance
686,41,monthly issuance
362,15,monthly issuance
299,77,monthly issuance
2488,5,monthly issuance
2985,71,monthly issuance
385,5,monthly issuance
2817,56,monthly issuance
2056,58,monthly issuance
2002,1,monthly issuance
748,10,monthly issuance
220,72,monthly issuance
1422,68,monthly issuance
1147,44,monthly issuance
3788,70,monthly issuance
1891,32,monthly issuance
1239,1,monthly issuance
8321,77,monthly issuance
3213,51,monthly issuance
2838,3,weekly issuance
3644,38,monthly issuance
4318,33,weekly issuance
2648,51,monthly issuance
2313,26,weekly issuance
5428,24,monthly issuance
7123,64,issuance after transaction
279,39,monthly issuance
104,37,monthly issuance
497,55,monthly issuance
1152,45,monthly issuance
83,26,monthly issuance
2008,52,monthly issuance
3327,45,monthly issuance
5740,43,monthly issuance
8132,5,weekly issuance
10738,45,weekly issuance
2216,74,monthly issuance
1815,66,monthly issuance
2823,57,monthly issuance
4321,47,monthly issuance
1773,33,monthly issuance
7454,4,monthly issuance
188,54,monthly issuance
10973,18,weekly issuance
2599,48,monthly issuance
1166,11,monthly issuance
504,73,monthly issuance
1518,67,monthly issuance
2189,75,monthly issuance
6040,1,monthly issuance
2876,52,monthly issuance
1505,69,monthly issuance
6897,48,monthly issuance
4377,28,monthly issuance
717,75,monthly issuance
9707,70,monthly issuance
2814,72,monthly issuance
3068,59,monthly issuance
1476,61,monthly issuance
897,38,monthly issuance
977,1,monthly issuance
2639,17,monthly issuance
1032,11,monthly issuance
928,20,monthly issuance
168,31,monthly issuance
2175,1,monthly issuance
10105,55,monthly issuance
1392,60,monthly issuance
3697,45,monthly issuance
5313,40,monthly issuance
2222,47,monthly issuance
2641,7,monthly issuance
5423,15,monthly issuance
2609,73,monthly issuance
5472,1,monthly issuance
2932,72,monthly issuance
4254,70,monthly issuance
3965,31,monthly issuance
10656,8,monthly issuance
887,1,monthly issuance
4743,64,monthly issuance
1048,35,monthly issuance
1671,6,monthly issuance
1236,19,monthly issuance
1822,30,monthly issuance
3316,28,monthly issuance
2037,20,monthly issuance
10079,62,monthly issuance
3999,35,monthly issuance
551,77,monthly issuance
1200,33,monthly issuance
1161,66,monthly issuance
5372,48,monthly issuance
3050,60,monthly issuance
1784,59,monthly issuance
1603,1,monthly issuance
1887,68,monthly issuance
1644,1,monthly issuance
1658,73,monthly issuance
44,32,monthly issuance
1039,70,weekly issuance
1071,68,weekly issuance
2410,54,monthly issuance
2523,10,monthly issuance
790,54,monthly issuance
2583,62,monthly issuance
1782,8,monthly issuance
751,3,monthly issuance
2061,24,monthly issuance
8261,13,monthly issuance
2321,35,monthly issuance
1334,74,monthly issuance
3649,54,monthly issuance
555,24,monthly issuance
3173,39,monthly issuance
863,71,monthly issuance
3181,42,monthly issuance
3210,1,monthly issuance
489,16,monthly issuance
947,59,monthly issuance
3284,64,monthly issuance
1610,52,monthly issuance
4225,55,monthly issuance
1412,64,monthly issuance
1937,36,monthly issuance
991,39,monthly issuance
1180,20,monthly issuance
2758,70,monthly issuance
2711,58,monthly issuance
1652,74,monthly issuance
3099,70,monthly issuance
11111,1,monthly issuance
9591,74,monthly issuance
9828,11,monthly issuance
5385,44,weekly issuance
23,30,monthly issuance
2645,54,monthly issuance
2991,19,monthly issuance
3469,76,monthly issuance
1851,55,monthly issuance
3844,67,monthly issuance
1442,23,monthly issuance
3064,40,monthly issuance
3558,4,monthly issuance
1534,1,monthly issuance
334,1,monthly issuance
1786,1,monthly issuance
1272,40,weekly issuance
2436,67,monthly issuance
3796,53,monthly issuance
119,27,monthly issuance
3063,72,monthly issuance
18,43,weekly issuance
11320,44,monthly issuance
3888,39,monthly issuance
1584,30,monthly issuance
5546,43,monthly issuance
2029,55,monthly issuance
10911,1,weekly issuance
2467,33,monthly issuance
2962,1,monthly issuance
165,25,monthly issuance
1617,45,monthly issuance
327,54,monthly issuance
2068,21,monthly issuance
4448,60,monthly issuance
640,32,monthly issuance
510,1,weekly issuance
2534,61,monthly issuance
1018,7,monthly issuance
1285,65,monthly issuance
3670,27,monthly issuance
1743,51,monthly issuance
3072,8,monthly issuance
2146,31,monthly issuance
4576,27,monthly issuance
3258,53,monthly issuance
2176,67,monthly issuance
8934,51,monthly issuance
1999,70,monthly issuance
2741,15,monthly issuance
4427,32,monthly issuance
3682,70,monthly issuance
2862,33,monthly issuance
3032,5,monthly issuance
701,69,monthly issuance
6281,56,monthly issuance
306,16,monthly issuance
1207,67,monthly issuance
1247,25,monthly issuance
5343,64,monthly issuance
5129,68,monthly issuance
3713,14,weekly issuance
2327,19,monthly issuance
774,1,monthly issuance
1990,1,monthly issuance
2388,30,monthly issuance
3566,21,monthly issuance
10266,54,monthly issuance
3771,22,monthly issuance
1978,57,weekly issuance
2022,72,monthly issuance
3542,49,monthly issuance
1515,11,monthly issuance
4171,28,monthly issuance
433,20,monthly issuance
1373,47,monthly issuance
3246,54,monthly issuance
1475,1,weekly issuance
3133,66,monthly issuance
2779,73,monthly issuance
135,75,monthly issuance
446,50,monthly issuance
9093,47,monthly issuance
432,46,monthly issuance
2880,71,monthly issuance
5767,72,monthly issuance
1998,1,monthly issuance
2554,36,monthly issuance
2933,10,monthly issuance
773,15,monthly issuance
4894,14,monthly issuance
3969,39,monthly issuance
1277,31,monthly issuance
5120,1,monthly issuance
738,34,monthly issuance
1299,1,monthly issuance
148,8,monthly issuance
899,72,monthly issuance
3521,75,monthly issuance
3786,21,monthly issuance
886,1,monthly issuance
5228,77,issuance after transaction
702,12,monthly issuance
300,1,monthly issuance
1451,64,monthly issuance
2940,54,monthly issuance
1837,23,monthly issuance
3954,22,monthly issuance
885,1,monthly issuance
2697,8,monthly issuance
8129,45,monthly issuance
1930,3,monthly issuance
2411,69,monthly issuance
3775,19,monthly issuance
9034,1,monthly issuance
902,74,monthly issuance
630,71,monthly issuance
3096,68,monthly issuance
2552,52,monthly issuance
3435,59,monthly issuance
5215,55,monthly issuance
36,1,monthly issuance
2687,76,monthly issuance
1861,54,monthly issuance
2464,33,issuance after transaction
2736,72,monthly issuance
1145,31,monthly issuance
2298,31,monthly issuance
929,54,monthly issuance
381,68,monthly issuance
3778,52,monthly issuance
1118,48,monthly issuance
4352,2,monthly issuance
1322,17,monthly issuance
1852,35,monthly issuance
8173,11,monthly issuance
2705,63,issuance after transaction
9472,1,weekly issuance
368,77,monthly issuance
1425,76,monthly issuance
8027,44,weekly issuance
3261,1,monthly issuance
35,75,monthly issuance
2186,63,monthly issuance
1566,73,monthly issuance
78,74,monthly issuance
3939,70,monthly issuance
2584,50,monthly issuance
2336,39,monthly issuance
2078,62,monthly issuance
3882,10,monthly issuance
4159,74,monthly issuance
907,41,monthly issuance
1411,54,monthly issuance
1684,32,weekly issuance
3748,1,monthly issuance
2213,68,monthly issuance
1062,6,monthly issuance
273,24,issuance after transaction
10320,68,monthly issuance
1416,66,weekly issuance
3277,36,monthly issuance
1892,28,monthly issuance
3413,70,monthly issuance
3654,47,monthly issuance
3000,28,monthly issuance
3955,64,monthly issuance
1544,69,monthly issuance
9703,68,monthly issuance
234,73,monthly issuance
3241,44,monthly issuance
3465,1,monthly issuance
3152,1,monthly issuance
1497,1,monthly issuance
3078,1,monthly issuance
400,28,monthly issuance
1902,50,weekly issuance
757,50,monthly issuance
1116,1,monthly issuance
5700,42,monthly issuance
3267,64,monthly issuance
3222,4,monthly issuance
408,41,monthly issuance
2818,40,monthly issuance
6273,38,monthly issuance
2513,70,monthly issuance
3493,63,monthly issuance
1201,61,monthly issuance
4478,70,monthly issuance
2915,57,monthly issuance
9833,20,monthly issuance
2253,74,monthly issuance
1069,70,monthly issuance
207,2,monthly issuance
3212,70,monthly issuance
4035,1,monthly issuance
1268,74,monthly issuance
3287,18,monthly issuance
6226,74,weekly issuance
2123,64,monthly issuance
3982,26,monthly issuance
2701,71,monthly issuance
3629,48,monthly issuance
2841,71,monthly issuance
563,53,monthly issuance
2732,5,monthly issuance
1297,70,monthly issuance
7485,39,monthly issuance
2088,4,monthly issuance
225,1,monthly issuance
1630,72,monthly issuance
403,1,monthly issuance
445,63,weekly issuance
186,1,weekly issuance
3720,36,monthly issuance
574,70,monthly issuance
1429,57,monthly issuance
3580,43,monthly issuance
7819,38,monthly issuance
759,23,monthly issuance
6363,74,monthly issuance
3738,51,monthly issuance
4000,7,monthly issuance
9041,1,monthly issuance
2620,22,monthly issuance
3609,28,monthly issuance
1382,48,monthly issuance
930,41,monthly issuance
1925,12,monthly issuance
1834,62,monthly issuance
1507,35,monthly issuance
7857,75,monthly issuance
6636,72,weekly issuance
601,29,monthly issuance
3298,29,monthly issuance
2938,1,monthly issuance
2199,1,monthly issuance
3745,5,monthly issuance
3699,50,monthly issuance
816,52,monthly issuance
3656,53,monthly issuance
2038,42,monthly issuance
2542,21,monthly issuance
1136,12,monthly issuance
1589,37,monthly issuance
3136,69,monthly issuance
3547,54,monthly issuance
26,52,monthly issuance
657,47,monthly issuance
3538,58,monthly issuance
2167,16,monthly issuance
3127,66,monthly issuance
47,45,monthly issuance
3850,8,monthly issuance
5366,70,monthly issuance
747,39,monthly issuance
3166,71,monthly issuance
11021,1,monthly issuance
1701,1,monthly issuance
3613,43,monthly issuance
3600,27,monthly issuance
3792,10,monthly issuance
523,1,monthly issuance
3808,38,monthly issuance
1401,1,monthly issuance
541,61,monthly issuance
1023,21,monthly issuance
3683,33,monthly issuance
3220,29,monthly issuance
1779,33,monthly issuance
1912,64,monthly issuance
238,6,monthly issuance
3113,67,monthly issuance
5481,52,monthly issuance
3035,15,weekly issuance
942,9,monthly issuance
3221,5,monthly issuance
2616,1,monthly issuance
2137,4,issuance after transaction
978,73,monthly issuance
2771,37,monthly issuance
3891,1,monthly issuance
9236,11,monthly issuance
274,76,monthly issuance
552,14,monthly issuance
2417,44,monthly issuance
3868,43,monthly issuance
9869,12,monthly issuance
1875,44,monthly issuance
8212,52,issuance after transaction
3477,71,monthly issuance
1513,30,monthly issuance
3053,11,monthly issuance
1057,13,monthly issuance
6030,47,monthly issuance
3407,28,monthly issuance
1761,24,monthly issuance
3306,75,monthly issuance
162,60,monthly issuance
5011,31,monthly issuance
965,20,monthly issuance
1305,57,monthly issuance
815,56,monthly issuance
1449,35,monthly issuance
950,49,monthly issuance
3361,45,monthly issuance
3837,48,issuance after transaction
33,22,monthly issuance
2894,17,monthly issuance
2510,61,monthly issuance
389,30,monthly issuance
6051,56,monthly issuance
730,4,monthly issuance
1694,6,weekly issuance
721,76,monthly issuance
1106,20,weekly issuance
3319,56,monthly issuance
10451,1,monthly issuance
172,13,monthly issuance
3920,74,monthly issuance
3011,64,monthly issuance
1337,23,monthly issuance
2592,69,monthly issuance
146,4,monthly issuance
2576,1,monthly issuance
3195,40,monthly issuance
8073,24,issuance after transaction
4463,67,monthly issuance
2082,36,monthly issuance
2020,13,monthly issuance
160,23,monthly issuance
7607,1,monthly issuance
117,31,monthly issuance
3509,2,monthly issuance
151,76,monthly issuance
1719,1,monthly issuance
3456,32,monthly issuance
2951,44,monthly issuance
7190,49,monthly issuance
1827,10,monthly issuance
1689,55,monthly issuance
1197,68,monthly issuance
5952,50,monthly issuance
6930,41,monthly issuance
1107,42,monthly issuance
8475,4,monthly issuance
3575,7,monthly issuance
2691,69,monthly issuance
3323,13,monthly issuance
2428,72,monthly issuance
2649,2,monthly issuance
2907,70,monthly issuance
1091,16,monthly issuance
1487,66,monthly issuance
3157,77,monthly issuance
4414,24,monthly issuance
2302,24,monthly issuance
1410,74,monthly issuance
1146,67,monthly issuance
8564,68,monthly issuance
750,73,monthly issuance
2150,37,monthly issuance
10940,50,monthly issuance
9337,30,monthly issuance
861,22,monthly issuance
10440,72,monthly issuance
10036,1,monthly issuance
1234,6,monthly issuance
7774,74,issuance after transaction
1547,72,monthly issuance
1079,74,monthly issuance
3863,15,monthly issuance
3480,58,monthly issuance
2671,1,monthly issuance
1705,70,monthly issuance
3028,27,monthly issuance
3310,25,monthly issuance
6715,48,weekly issuance
3255,1,monthly issuance
3751,9,monthly issuance
2987,18,monthly issuance
857,77,monthly issuance
3042,10,monthly issuance
2695,16,monthly issuance
2849,1,monthly issuance
2802,1,monthly issuance
34,67,weekly issuance
7133,1,monthly issuance
699,1,monthly issuance
2282,29,weekly issuance
8489,19,monthly issuance
837,46,monthly issuance
8759,1,monthly issuance
1602,33,monthly issuance
2958,48,monthly issuance
3408,62,monthly issuance
153,77,monthly issuance
3268,21,monthly issuance
854,62,monthly issuance
1831,1,monthly issuance
39,36,monthly issuance
1811,40,monthly issuance
3822,8,monthly issuance
1404,7,weekly issuance
517,76,monthly issuance
1440,55,monthly issuance
3505,46,monthly issuance
1804,20,weekly issuance
2617,1,monthly issuance
467,74,monthly issuance
4437,40,monthly issuance
1453,61,weekly issuance
3977,7,monthly issuance
8982,64,monthly issuance
27,73,monthly issuance
4511,33,monthly issuance
1052,61,monthly issuance
10227,62,issuance after transaction
3171,61,monthly issuance
228,5,monthly issuance
3618,29,monthly issuance
1016,40,monthly issuance
15,70,monthly issuance
3237,20,monthly issuance
1485,36,monthly issuance
7769,23,monthly issuance
2613,26,monthly issuance
2201,8,monthly issuance
1896,74,monthly issuance
5387,1,monthly issuance
3535,1,monthly issuance
1120,1,monthly issuance
235,41,monthly issuance
3701,76,monthly issuance
1516,67,monthly issuance
4543,33,monthly issuance
2427,70,weekly issuance
1981,64,monthly issuance
8566,74,monthly issuance
678,17,monthly issuance
4659,56,monthly issuance
4059,34,monthly issuance
4013,73,issuance after transaction
7011,75,monthly issuance
2132,76,monthly issuance
1816,44,monthly issuance
2623,58,monthly issuance
2793,47,monthly issuance
2479,18,monthly issuance
11135,75,monthly issuance
8041,1,monthly issuance
492,5,monthly issuance
799,56,monthly issuance
3972,51,monthly issuance
1468,54,monthly issuance
624,70,monthly issuance
3483,40,monthly issuance
4260,56,monthly issuance
616,43,monthly issuance
931,59,monthly issuance
102,11,monthly issuance
540,75,monthly issuance
2660,1,weekly issuance
4287,1,monthly issuance
3551,6,monthly issuance
2072,41,monthly issuance
4119,77,monthly issuance
1345,28,monthly issuance
1565,36,monthly issuance
2824,11,monthly issuance
2052,61,monthly issuance
1767,21,monthly issuance
2140,75,monthly issuance
1051,35,monthly issuance
3927,56,monthly issuance
2050,1,monthly issuance
2276,31,monthly issuance
126,5,monthly issuance
2859,11,monthly issuance
2667,23,monthly issuance
1789,46,monthly issuance
838,47,monthly issuance
3264,70,monthly issuance
198,70,monthly issuance
2345,5,monthly issuance
5256,72,issuance after transaction
40,64,monthly issuance
419,13,monthly issuance
3892,43,monthly issuance
1217,69,monthly issuance
397,11,monthly issuance
3146,68,monthly issuance
287,16,monthly issuance
2180,45,monthly issuance
354,59,monthly issuance
259,2,monthly issuance
1666,67,monthly issuance
1495,36,monthly issuance
2582,28,monthly issuance
4470,16,monthly issuance
1381,57,monthly issuance
2435,38,monthly issuance
542,1,monthly issuance
1123,13,monthly issuance
3225,1,monthly issuance
1133,1,monthly issuance
3086,1,monthly issuance
2250,35,monthly issuance
340,1,monthly issuance
4079,52,monthly issuance
841,1,monthly issuance
2269,6,monthly issuance
2867,30,monthly issuance
3371,68,monthly issuance
520,60,monthly issuance
743,10,monthly issuance
3640,10,monthly issuance
3354,63,monthly issuance
107,64,monthly issuance
243,55,weekly issuance
3687,71,monthly issuance
1984,73,monthly issuance
4173,1,monthly issuance
2700,74,monthly issuance
2318,73,monthly issuance
7965,55,monthly issuance
3352,42,monthly issuance
4255,70,weekly issuance
73,72,monthly issuance
3948,1,monthly issuance
648,13,monthly issuance
3688,70,monthly issuance
462,29,monthly issuance
3243,1,monthly issuance
8625,64,monthly issuance
321,47,monthly issuance
3548,23,monthly issuance
5984,11,monthly issuance
3091,3,monthly issuance
626,72,monthly issuance
998,47,monthly issuance
3326,5,monthly issuance
2457,76,monthly issuance
2549,74,monthly issuance
1947,35,monthly issuance
2738,41,monthly issuance
1809,1,weekly issuance
519,24,monthly issuance
2665,61,monthly issuance
1114,6,weekly issuance
8957,1,monthly issuance
2271,68,monthly issuance
196,4,monthly issuance
3218,41,monthly issuance
3660,74,monthly issuance
787,10,monthly issuance
3820,1,monthly issuance
10906,76,monthly issuance
914,73,monthly issuance
9656,61,monthly issuance
1941,60,monthly issuance
3617,22,monthly issuance
3370,49,monthly issuance
1664,56,monthly issuance
4337,29,monthly issuance
2557,40,monthly issuance
1527,31,issuance after transaction
3938,57,monthly issuance
1686,11,monthly issuance
10670,60,monthly issuance
3309,66,monthly issuance
3107,5,monthly issuance
8377,29,monthly issuance
345,5,monthly issuance
498,1,monthly issuance
3571,39,monthly issuance
5991,1,monthly issuance
1128,74,monthly issuance
10439,66,monthly issuance
1302,55,monthly issuance
10788,67,weekly issuance
4343,31,monthly issuance
2460,1,monthly issuance
1931,20,monthly issuance
2972,12,monthly issuance
1286,66,issuance after transaction
1235,76,monthly issuance
4385,23,monthly issuance
7449,1,monthly issuance
545,54,monthly issuance
245,65,monthly issuance
688,74,monthly issuance
173,66,monthly issuance
10904,48,monthly issuance
7844,1,monthly issuance
6353,26,monthly issuance
604,12,monthly issuance
6806,1,monthly issuance
5927,15,monthly issuance
2419,24,monthly issuance
1288,11,monthly issuance
3003,18,monthly issuance
10131,1,monthly issuance
1952,70,monthly issuance
651,72,monthly issuance
2989,4,monthly issuance
1499,47,monthly issuance
426,1,monthly issuance
3570,44,monthly issuance
4237,18,monthly issuance
2739,59,monthly issuance
4526,63,monthly issuance
1621,75,monthly issuance
344,54,monthly issuance
1359,8,monthly issuance
290,56,monthly issuance
66,48,issuance after transaction
1314,48,monthly issuance
3145,4,monthly issuance
1204,29,monthly issuance
437,43,monthly issuance
2063,1,monthly issuance
3087,15,monthly issuance
2588,5,monthly issuance
956,74,monthly issuance
597,41,monthly issuance
3129,5,monthly issuance
884,2,monthly issuance
4264,28,monthly issuance
3223,1,monthly issuance
737,34,monthly issuance
2306,38,monthly issuance
1673,53,monthly issuance
10663,11,monthly issuance
3345,22,monthly issuance
1970,8,monthly issuance
2504,16,monthly issuance
358,12,monthly issuance
2980,66,monthly issuance
3918,53,monthly issuance
1680,59,monthly issuance
3039,1,monthly issuance
3380,64,monthly issuance
2128,22,monthly issuance
903,47,monthly issuance
1762,28,monthly issuance
61,70,monthly issuance
391,36,monthly issuance
2305,1,monthly issuance
1588,67,monthly issuance
183,43,monthly issuance
365,74,monthly issuance
2476,32,monthly issuance
347,65,monthly issuance
1877,76,monthly issuance
3196,1,monthly issuance
2928,55,monthly issuance
1225,4,monthly issuance
3825,7,monthly issuance
180,55,weekly issuance
2813,24,monthly issuance
1605,72,monthly issuance
1792,7,monthly issuance
1604,54,monthly issuance
883,1,monthly issuance
441,27,weekly issuance
3429,73,monthly issuance
4514,69,monthly issuance
1088,32,monthly issuance
3094,56,monthly issuance
1768,15,monthly issuance
2768,73,monthly issuance
2257,57,monthly issuance
1882,1,monthly issuance
719,30,monthly issuance
5092,74,monthly issuance
3292,1,monthly issuance
3604,75,monthly issuance
2733,76,monthly issuance
3669,76,monthly issuance
1940,52,monthly issuance
3056,55,monthly issuance
1419,33,monthly issuance
2971,76,weekly issuance
1959,62,monthly issuance
3164,33,monthly issuance
3197,1,monthly issuance
2770,42,monthly issuance
7944,59,monthly issuance
1080,55,monthly issuance
6148,74,monthly issuance
2010,1,monthly issuance
3135,72,monthly issuance
1098,47,monthly issuance
100,41,monthly issuance
2913,8,monthly issuance
1153,35,monthly issuance
1635,19,monthly issuance
2842,14,monthly issuance
3759,1,monthly issuance
3594,29,monthly issuance
2778,38,monthly issuance
2161,15,weekly issuance
2789,14,monthly issuance
1552,18,monthly issuance
628,72,monthly issuance
1458,29,monthly issuance
2673,34,monthly issuance
1788,1,monthly issuance
1193,29,monthly issuance
969,19,monthly issuance
1512,1,monthly issuance
3997,62,monthly issuance
2179,1,weekly issuance
1164,35,monthly issuance
4774,66,monthly issuance
4413,74,weekly issuance
1824,52,monthly issuance
1231,7,monthly issuance
2664,58,monthly issuance
1627,1,monthly issuance
9104,10,monthly issuance
2326,70,monthly issuance
4356,47,monthly issuance
3667,55,monthly issuance
742,77,monthly issuance
2538,42,monthly issuance
127,29,monthly issuance
726,76,monthly issuance
4907,42,monthly issuance
2628,64,issuance after transaction
3898,70,monthly issuance
6472,61,monthly issuance
1770,65,monthly issuance
2472,60,monthly issuance
1159,49,monthly issuance
4418,66,monthly issuance
1470,19,monthly issuance
1813,47,monthly issuance
4416,14,monthly issuance
2315,75,monthly issuance
3876,69,monthly issuance
4329,1,monthly issuance
3184,1,monthly issuance
370,25,monthly issuance
1317,56,monthly issuance
2675,1,monthly issuance
