account_id,last_balance,mean_balance,min_balance,negative_balance,monthly_diff
4533,90314.9,67815.17450980392,200.0,0.0,10804
4550,21118.6,23137.19054054054,700.0,0.0,3920
4616,67420.5,58360.68125000001,1000.0,0.0,19920
4618,12551.9,51945.21627906976,1100.0,0.0,1568
4626,17171.7,45807.114285714284,700.0,0.0,1320
4631,74816.0,42728.93157894737,800.0,0.0,-17470
4660,54045.6,57324.072222222225,800.0,0.0,-20159
4681,39415.4,37092.94552238806,16399.9,0.0,-12482
4715,91941.4,66376.84999999999,400.0,0.0,-32056
4725,27575.2,40044.576,700.0,0.0,-18258
4746,89411.0,48890.17826086956,200.0,0.0,12772
4784,77123.8,44366.05454545454,400.0,0.0,-10164
4794,17274.4,26347.12441860465,1100.0,0.0,6324
4803,22740.4,23023.65909090909,6620.0,0.0,2526
4858,16401.1,38710.01136363636,-6652.7,1.0,-43861
4863,70923.6,50621.10493827161,300.0,0.0,-26841
4949,54561.4,58959.27777777777,400.0,0.0,-34406
4969,79230.1,50892.0,200.0,0.0,12505
4999,25659.5,35478.66185567011,300.0,0.0,-16745
5072,38678.7,56757.3095890411,1100.0,0.0,9362
5118,35612.5,30896.00266666667,1100.0,0.0,4541
5133,84842.4,46000.645348837206,900.0,0.0,7765
5164,17213.5,25150.975925925926,6392.0,0.0,4276
5180,55172.0,32543.264705882353,700.0,0.0,3245
5181,18581.6,42435.31166666667,300.0,0.0,1238
5196,38069.7,49309.00967741935,300.0,0.0,10297
5267,71516.6,45330.91973684211,-8657.3,1.0,3109
5269,24539.8,40841.79534883721,500.0,0.0,5806
5283,52125.4,65037.92923076924,700.0,0.0,-35249
5305,10421.7,41135.01098901099,600.0,0.0,-30309
5317,36566.0,31516.346153846152,200.0,0.0,-6213
5358,60756.7,41735.4201754386,500.0,0.0,9201
5362,33802.0,37200.395945945944,800.0,0.0,-15734
5395,28833.7,47679.97368421052,400.0,0.0,1695
5445,36307.5,40292.34146341463,1000.0,0.0,-6407
5477,64050.3,59951.07517241378,900.0,0.0,7523
5572,13759.2,45160.51162790698,800.0,0.0,6557
5591,41785.4,44440.91267605633,1000.0,0.0,-18389
5602,19981.3,44723.355813953494,14855.3,0.0,1175
5698,30810.9,57018.617441860486,300.0,0.0,8126
5724,45754.0,40175.6125,200.0,0.0,-24751
5837,46296.7,54375.023076923084,800.0,0.0,3306
5912,39023.4,34785.53451327434,1100.0,0.0,-10971
5944,66220.2,45921.198591549306,1000.0,0.0,7976
6061,49297.2,43197.28125,1000.0,0.0,8999
6062,51923.7,52905.40714285715,700.0,0.0,-29099
6075,10778.5,14785.585897435894,-1449.6,1.0,672
6083,27383.2,52871.42441860466,500.0,0.0,2106
6097,37647.8,27419.849999999995,1000.0,0.0,9411
6138,17205.7,30181.317391304336,200.0,0.0,-13633
6157,20059.8,54799.85662650601,1000.0,0.0,8234
6158,23990.1,23594.146666666664,200.0,0.0,2665
6265,58492.3,69963.484057971,200.0,0.0,12767
6440,83661.6,60619.159999999996,1100.0,0.0,10457
6453,29034.9,22935.072121212117,300.0,0.0,3569
6461,43737.3,52250.26119402984,700.0,0.0,3976
6495,32793.3,41026.3314516129,500.0,0.0,8528
6505,92223.4,42732.3361111111,800.0,0.0,7094
6510,52478.9,61992.3,900.0,0.0,10495
6592,60956.6,63544.64567901234,300.0,0.0,13363
6649,77813.6,40047.083870967756,1000.0,0.0,3383
6678,111013.5,61692.07751937985,1100.0,0.0,2479
6686,24270.5,41285.01833333333,600.0,0.0,-29333
6699,39078.4,28863.030526315782,400.0,0.0,-5110
6706,54222.1,44890.03333333333,200.0,0.0,5409
6792,40773.2,29906.531428571423,400.0,0.0,5884
6856,66449.9,25654.37837837838,321.0,0.0,11515
6902,26686.8,35987.26296296296,900.0,0.0,5166
6922,47956.3,46755.30576923078,1100.0,0.0,-33263
6950,46505.3,40812.49166666666,700.0,0.0,11626
7045,102188.4,54677.280952380956,400.0,0.0,-22068
7049,34235.5,44813.422580645165,600.0,0.0,-42144
7052,39052.7,21532.345454545455,300.0,0.0,-896
7082,29713.9,28548.365413533833,900.0,0.0,6945
7099,66284.9,42818.502958579884,1000.0,0.0,-19238
7156,59456.1,50541.553125,300.0,0.0,-14504
7176,51081.3,42000.788888888885,400.0,0.0,7820
7180,71878.9,40126.96862745097,700.0,0.0,-15103
7181,76514.2,50265.36186046512,600.0,0.0,8787
7240,19986.6,28077.731404958682,500.0,0.0,-8750
7262,28038.0,33927.08571428571,900.0,0.0,4989
7274,25180.7,49296.52272727271,400.0,0.0,5731
7424,27846.6,61588.33719512193,900.0,0.0,8366
7437,34595.1,30696.238181818193,13026.6,0.0,-7469
7542,30859.3,27937.978378378368,300.0,0.0,6807
7559,38120.5,28534.93717948718,900.0,0.0,5366
7565,27633.1,33651.10360360361,300.0,0.0,-14008
7594,32928.2,53546.70890052357,1000.0,0.0,6037
7632,41656.1,39297.335294117656,1000.0,0.0,8621
7636,23454.4,48865.98409090909,700.0,0.0,4230
7637,44278.0,44346.15625,900.0,0.0,8855
7674,70683.9,60311.76666666666,800.0,0.0,15480
7713,31401.9,38280.102666666666,600.0,0.0,3900
7721,57100.5,39247.387500000004,1000.0,0.0,-18572
7733,73904.0,66051.94507042253,200.0,0.0,-42350
7745,20750.2,37934.865625000006,700.0,0.0,7848
7890,30004.1,23918.494285714285,300.0,0.0,4977
7894,57715.7,58553.67719298246,300.0,0.0,10128
7907,20146.2,36685.09135802469,200.0,0.0,6416
7957,97149.3,50590.532,500.0,0.0,14413
7966,25908.9,52777.34186046511,500.0,0.0,2877
7990,29245.0,64162.669178082186,700.0,0.0,7546
7997,137843.0,52422.49109589042,400.0,0.0,4347
8026,48338.4,47029.53888888889,700.0,0.0,8053
8038,77333.8,55660.65578947369,600.0,0.0,8230
8085,21054.8,37448.40472440944,600.0,0.0,9381
8094,48503.1,60165.795,600.0,0.0,-33148
8114,35199.4,39110.670833333344,600.0,0.0,6742
8158,83069.1,65133.535849056614,1000.0,0.0,-27211
8169,16038.7,24067.298540145985,700.0,0.0,5124
8225,2830.7,31916.898260869573,-214.8,1.0,-19623
8268,29184.0,24946.635443037976,400.0,0.0,7022
8320,44736.8,40151.711764705884,1100.0,0.0,-15811
8381,99815.6,61748.70206185566,500.0,0.0,14660
8505,57767.4,35642.19777777778,1100.0,0.0,6418
8523,57467.8,53890.64326923077,400.0,0.0,-47340
8639,21519.2,29159.44181818182,400.0,0.0,-15481
8645,19813.8,26268.19,700.0,0.0,7542
8688,55705.9,34806.92142857143,400.0,0.0,13926
8713,27372.9,28620.3978021978,400.0,0.0,-16943
8742,31693.2,32407.646875,900.0,0.0,6386
8772,7083.3,17535.779220779223,800.0,0.0,-6671
8784,52767.8,45497.74206349206,1100.0,0.0,-31799
8919,27476.0,20237.19259259259,1000.0,0.0,3944
8926,29900.3,36640.322077922065,200.0,0.0,6955
8931,26264.0,62765.8655462185,200.0,0.0,7588
9031,68616.8,46214.125,900.0,0.0,17154
9037,62516.8,32014.602808988762,400.0,0.0,8547
9052,85375.5,39870.4112781955,-8245.1,1.0,4743
9138,1580.3,36907.373015873,-625.1,1.0,6790
9140,30634.0,23124.206611570247,500.0,0.0,8272
9153,37433.1,33782.06138613862,600.0,0.0,5856
9156,17621.0,29463.690909090907,600.0,0.0,1174
9159,71208.5,40349.88486238533,700.0,0.0,10362
9167,37464.6,39041.91875,500.0,0.0,5855
9179,38003.2,37189.77195121952,1000.0,0.0,-20232
9201,27867.4,48395.940178571436,1000.0,0.0,-33349
9208,37167.7,33221.211570247935,871.3,0.0,-20154
9225,23421.1,42341.63775510205,600.0,0.0,1463
9227,17266.7,18241.44,900.0,0.0,3860
9235,41045.9,39962.46618705036,700.0,0.0,1954
9241,59862.7,49699.66481481483,1100.0,0.0,-23441
9242,42501.4,36729.80172413793,200.0,0.0,3863
9263,29753.3,30719.746666666666,700.0,0.0,-14111
9353,57226.7,45805.50000000001,900.0,0.0,4628
9377,91178.5,55851.80263157895,400.0,0.0,9476
9424,31228.0,29077.814705882352,500.0,0.0,-10903
9433,38043.6,41961.44925373135,600.0,0.0,2717
9455,45924.3,56102.474107142865,1000.0,0.0,-30508
9491,98236.7,57411.608287292824,800.0,0.0,-37146
9494,20739.0,23391.68913043478,400.0,0.0,4941
9504,68367.1,49678.36623376624,700.0,0.0,-34850
9513,31236.8,31402.28372093022,700.0,0.0,8183
9560,38635.4,38742.92380952381,400.0,0.0,4829
9631,33869.8,29114.62258064515,200.0,0.0,-13742
9633,54909.1,45016.69083333333,-5525.0,1.0,3050
9646,21498.3,43095.511627906955,300.0,0.0,1023
9673,56477.5,37386.856043956046,1100.0,0.0,-9786
9677,25880.0,27522.883783783782,500.0,0.0,7707
9730,32564.7,29865.18974358974,900.0,0.0,6581
9859,73926.0,53217.7294736842,400.0,0.0,-22925
10005,31772.1,51175.19230769232,200.0,0.0,-30968
10022,42694.0,54315.558974358966,400.0,0.0,-17500
10049,14930.1,17625.444285714293,300.0,0.0,3036
10063,47248.7,54476.857142857145,200.0,0.0,-31977
10065,52289.2,72885.75808823529,1100.0,0.0,2904
10068,57698.3,68874.72173913043,1000.0,0.0,14424
10134,51899.0,60593.8406779661,600.0,0.0,13182
10148,39312.2,44135.94383561645,700.0,0.0,7323
10202,9680.4,46147.521686746986,300.0,0.0,5427
10215,46446.1,42830.995238095245,300.0,0.0,6553
10233,28610.8,37233.14339622641,500.0,0.0,-18203
10243,110482.6,68510.41730769232,200.0,0.0,8498
10257,67407.8,54062.079230769225,900.0,0.0,16154
10280,53621.6,58819.48769230769,600.0,0.0,-34706
10345,13932.4,25084.423664122132,1000.0,0.0,5843
10351,13431.1,18675.060305343515,800.0,0.0,4218
10361,34575.3,56531.81724137931,500.0,0.0,-38748
10365,11565.4,31518.182051282052,-718.6,1.0,4830
10404,30638.8,48180.37787610619,300.0,0.0,5293
10445,52566.3,54304.50852713178,800.0,0.0,5215
10478,11562.7,62460.22678571428,200.0,0.0,502
10493,36126.5,45733.43548387097,300.0,0.0,8646
10613,70038.5,58128.03111111111,700.0,0.0,-27343
10644,66463.8,61366.869333333336,400.0,0.0,-35834
10645,27297.3,64087.07016129033,500.0,0.0,-46364
10650,80679.6,72465.66956521742,300.0,0.0,-35636
10652,29123.4,41690.6,700.0,0.0,-25715
10679,43883.1,64942.89333333332,900.0,0.0,-35729
10711,89121.5,78724.20970149255,1100.0,0.0,7590
10774,28677.8,28634.139215686275,1000.0,0.0,5104
10789,76389.2,59138.44178082193,900.0,0.0,16487
10799,36627.3,28375.804,800.0,0.0,3329
10807,64497.2,48557.38070175439,600.0,0.0,-31171
10812,38199.7,54575.39882352942,300.0,0.0,1899
10857,10414.7,29028.266101694913,700.0,0.0,743
10905,42762.2,41985.62040816326,1000.0,0.0,7318
10915,9641.6,20874.116101694926,600.0,0.0,-6972
10954,44322.7,40748.34523809524,300.0,0.0,4923
11027,32352.9,33044.0156626506,800.0,0.0,-8137
11069,45721.0,42572.4100840336,1100.0,0.0,2176
11079,44345.5,66405.07079646018,300.0,0.0,-50781
11096,37716.7,37524.88636363636,800.0,0.0,7396
11141,76986.0,52484.82250000001,200.0,0.0,9623
11231,62119.7,60522.04038461539,900.0,0.0,-35745
11244,55447.1,51964.019277108426,200.0,0.0,12775
11271,19757.5,26491.78018018018,200.0,0.0,-4523
11317,76508.5,64978.0724137931,700.0,0.0,9962
11327,62119.2,55438.85185185187,300.0,0.0,7661
11328,31303.2,38619.10283018868,1000.0,0.0,1490
