client_id,birth_number,client_district_id,gender
136,210126,55,Female
137,230914,60,Male
138,721021,54,Female
139,590725,8,Female
140,610606,8,Male
141,251102,31,Male
142,370621,68,Male
143,780709,27,Male
144,581206,65,Male
145,780214,55,Male
146,611219,31,Female
147,331102,21,Female
148,401225,21,Male
149,480627,55,Male
150,800927,2,Female
151,710923,51,Female
152,451202,29,Female
153,810212,13,Female
154,330827,74,Male
155,390313,74,Female
156,300722,54,Female
157,430709,52,Female
158,450703,40,Female
159,380910,40,Male
160,420426,64,Female
161,431007,34,Female
162,411017,65,Male
163,330612,74,Male
164,620404,70,Female
165,681108,22,Male
166,611022,22,Female
167,780418,38,Female
168,761105,24,Female
169,530912,38,Male
170,460616,38,Female
171,290625,51,Male
172,351005,51,Female
173,181208,21,Female
174,781110,10,Male
175,600713,31,Male
176,290311,4,Male
178,601222,8,Male
179,801229,43,Male
180,820119,73,Male
181,670706,76,Male
182,590713,76,Female
183,780319,1,Female
184,720605,1,Male
185,540530,77,Male
186,610222,46,Female
187,420823,58,Male
188,600902,64,Male
189,190810,11,Male
190,471031,37,Female
191,540903,37,Male
192,710228,70,Male
193,620501,1,Male
194,241220,28,Female
195,191118,74,Male
196,270625,74,Female
197,330425,30,Male
198,760714,60,Male
199,230621,29,Male
200,280113,29,Female
201,300819,17,Female
202,761121,29,Female
203,620610,31,Male
204,670617,31,Female
205,420615,4,Female
206,630413,59,Female
207,320520,46,Male
208,400625,13,Female
209,350820,13,Male
210,391130,66,Male
211,450628,66,Female
212,750210,52,Male
215,670924,71,Male
216,600130,1,Male
217,741222,59,Female
218,800123,1,Female
219,640402,60,Female
221,770225,21,Female
222,720629,47,Female
223,520227,43,Female
224,550511,77,Male
225,360510,32,Male
226,420616,1,Male
227,261218,52,Female
228,560316,48,Female
229,690722,76,Male
230,670310,74,Female
231,410218,41,Male
232,210617,55,Female
233,581203,69,Female
234,550621,69,Male
235,430828,44,Female
236,610901,70,Male
237,690222,70,Female
238,611128,6,Female
239,740910,1,Female
240,290617,34,Female
241,590123,70,Male
242,610801,17,Female
243,540210,63,Male
246,701228,67,Female
247,570508,1,Male
248,691212,61,Female
249,700505,61,Male
250,791125,8,Female
251,760303,54,Female
252,690901,37,Female
253,470512,48,Female
254,630530,28,Male
255,511011,27,Female
256,630227,73,Female
257,421104,22,Female
258,370531,22,Male
259,660608,31,Male
260,620224,31,Female
261,371207,38,Female
262,451125,77,Male
263,620520,68,Male
264,780822,28,Male
265,330107,72,Female
266,670828,19,Female
267,670612,37,Male
268,820502,39,Female
269,231203,15,Female
270,470308,46,Male
271,450727,46,Female
272,441025,70,Female
273,720515,27,Female
274,701125,17,Female
275,181112,1,Female
276,570611,1,Male
277,611128,1,Female
278,721227,22,Female
279,700516,22,Male
280,691218,45,Female
282,380224,73,Female
283,331104,73,Male
284,740806,10,Male
285,540603,72,Male
286,520418,72,Female
287,800909,50,Male
288,620421,6,Male
289,580327,54,Male
290,590112,72,Male
291,550427,72,Female
292,580906,15,Female
293,430927,69,Male
294,680321,58,Male
295,390327,12,Male
296,740301,65,Male
297,240315,65,Female
298,210613,65,Male
300,570730,1,Female
301,420110,28,Male
302,710223,56,Male
303,460506,74,Male
304,340311,19,Female
305,380608,46,Male
308,760612,68,Female
309,691214,37,Female
310,500416,11,Male
311,300916,64,Female
312,240703,2,Male
313,420511,24,Female
314,450322,24,Male
315,670501,54,Male
316,550428,75,Male
317,571006,64,Female
318,430402,15,Female
319,290404,19,Female
320,341112,19,Male
321,431024,47,Female
322,330201,38,Male
323,380404,38,Female
324,601203,3,Male
325,600221,3,Male
326,670918,27,Female
327,681013,27,Male
328,180124,1,Female
329,641203,11,Male
330,440805,65,Female
331,420302,1,Male
332,780725,29,Male
333,711019,38,Male
334,691031,32,Male
335,670722,73,Female
336,640211,39,Female
337,570508,39,Male
338,510619,8,Female
339,660730,1,Male
340,700819,1,Female
341,770316,69,Male
342,720630,69,Female
343,191119,44,Male
344,630716,54,Female
345,531207,17,Male
346,601102,17,Female
347,591213,71,Male
348,530124,71,Female
349,270527,39,Female
350,250402,25,Female
351,730501,1,Male
352,400827,56,Male
353,651026,7,Male
354,220427,49,Female
355,300531,49,Male
356,791207,1,Female
357,790330,1,Male
358,590626,7,Female
359,700216,66,Male
360,430427,49,Male
361,770525,74,Female
362,500427,35,Female
363,420701,35,Male
364,421205,54,Female
365,300109,1,Male
366,361110,1,Female
367,630903,60,Female
368,681014,60,Male
369,301106,7,Female
370,560105,71,Female
371,420716,4,Male
372,320403,34,Male
373,360228,16,Male
374,670614,26,Male
375,690929,61,Female
376,730108,14,Female
378,780515,50,Male
379,831013,50,Female
380,730119,41,Male
381,770126,73,Female
382,780630,73,Male
383,390517,15,Female
384,351008,15,Male
385,480324,45,Male
386,800821,62,Male
387,270606,76,Male
388,501030,36,Female
389,740630,47,Female
390,770127,47,Female
391,330522,47,Female
392,500401,74,Female
393,560831,74,Male
394,240518,52,Female
395,190705,52,Male
396,200502,1,Male
397,300327,75,Male
398,250326,61,Female
399,520414,45,Male
400,331227,1,Male
401,281119,1,Female
402,431225,3,Male
403,730526,42,Female
404,670420,42,Male
405,341019,65,Female
406,770515,36,Male
407,750527,73,Female
408,780222,35,Female
409,250618,74,Male
410,621220,62,Male
411,410414,17,Female
412,440417,17,Male
413,721118,49,Female
414,471019,46,Female
415,450401,46,Male
416,321007,1,Female
417,300610,1,Male
418,661013,28,Male
419,701007,64,Female
420,780313,18,Male
421,650731,54,Male
422,461207,69,Male
423,570623,37,Male
424,471008,1,Male
425,480212,25,Male
426,370601,72,Male
427,410914,72,Female
428,191116,47,Female
429,810120,50,Female
430,200728,39,Male
431,271001,24,Female
432,520326,59,Female
433,550207,62,Male
434,430130,70,Female
435,671023,20,Male
436,550615,2,Male
437,200117,11,Female
438,380928,32,Male
439,680912,51,Female
440,700707,15,Female
441,590914,1,Male
442,711216,1,Female
443,711220,1,Male
444,600801,74,Female
445,470427,1,Female
446,520319,1,Male
447,460904,23,Male
448,700815,77,Female
450,531127,25,Male
451,790414,12,Male
452,531022,55,Female
453,690716,67,Male
454,490615,38,Female
455,200726,68,Male
456,400228,25,Male
457,500926,70,Male
458,610724,68,Male
459,670723,32,Female
461,700813,68,Female
462,701221,14,Male
463,440405,38,Male
464,590730,24,Female
465,520901,5,Male
466,471119,1,Female
467,500417,1,Male
468,590427,72,Male
469,701013,59,Female
470,540421,30,Female
471,770111,44,Male
472,811227,36,Male
473,390925,1,Female
474,490531,46,Male
476,470601,1,Female
477,540720,1,Male
478,780621,21,Male
479,470820,11,Male
480,460124,11,Female
481,270122,69,Male
482,340122,69,Female
483,440619,1,Male
484,590913,28,Female
485,780516,32,Male
486,440412,68,Male
487,220401,1,Female
488,170802,1,Male
489,401007,41,Male
490,501023,55,Male
491,660805,63,Male
492,351026,72,Male
493,420604,41,Female
494,800519,1,Male
495,370407,49,Female
496,510521,70,Female
497,530202,74,Male
498,480115,74,Female
499,350708,18,Female
500,710106,1,Male
501,371028,62,Male
502,191208,6,Male
503,590724,73,Male
504,790801,36,Male
505,771221,13,Male
506,460816,75,Male
507,541116,75,Male
508,710428,53,Male
509,800502,73,Male
510,760415,12,Male
511,590218,9,Male
512,650803,60,Female
513,740111,8,Female
514,681115,8,Male
515,320526,1,Male
516,300427,1,Female
517,650725,63,Male
518,790428,54,Female
519,800413,18,Male
520,470927,46,Female
521,751225,69,Male
522,560304,1,Female
523,221217,38,Male
524,630102,30,Female
525,690814,30,Male
526,640201,43,Male
527,660818,43,Female
528,770211,37,Male
529,781105,69,Male
530,570927,29,Female
531,761004,27,Male
532,800903,27,Female
533,410519,54,Female
534,570722,74,Male
535,370909,26,Male
536,390825,47,Male
537,350116,1,Male
538,480510,5,Female
540,210728,19,Male
541,270309,19,Female
542,210209,59,Female
543,580415,11,Female
544,481116,63,Male
545,731011,75,Female
546,530825,7,Male
547,490331,54,Male
548,371204,49,Male
550,611130,7,Male
551,760705,47,Female
552,340508,1,Female
553,410407,1,Male
554,250419,30,Female
555,261021,30,Male
556,460708,29,Male
557,390717,51,Male
558,200705,43,Female
559,720905,32,Female
560,671216,71,Female
561,621110,74,Female
562,750922,49,Female
563,610909,72,Female
564,550124,72,Male
565,590703,64,Female
566,460305,47,Female
567,500502,47,Male
568,600719,8,Female
569,620615,73,Male
570,410131,61,Female
571,240927,3,Male
572,200804,3,Female
573,670810,69,Male
574,721225,1,Male
575,700404,58,Male
576,740512,58,Female
577,631205,1,Female
578,770707,23,Female
579,330531,72,Female
581,490204,70,Female
582,500926,1,Male
583,650101,75,Female
584,760513,33,Female
585,420221,40,Female
586,471103,40,Male
587,450708,25,Female
588,601020,61,Female
589,610917,45,Male
590,490215,44,Male
591,741029,65,Female
592,650718,26,Male
593,540710,60,Female
596,481024,69,Male
597,430222,55,Male
598,701231,1,Male
599,770518,1,Female
601,660312,56,Male
602,650116,56,Female
603,660309,13,Female
604,650731,1,Female
605,700827,1,Female
606,490125,10,Female
607,640330,64,Male
608,720831,67,Male
609,620902,52,Male
610,790810,74,Female
611,521013,36,Male
612,601110,36,Female
613,770810,1,Female
614,470203,14,Female
615,490913,68,Female
616,750101,58,Male
617,740314,70,Male
618,320316,57,Female
619,200907,6,Male
620,180213,6,Female
621,390317,54,Male
622,311123,74,Female
623,250904,24,Male
624,320726,24,Female
625,781124,60,Female
626,800413,9,Male
627,720411,17,Male
628,700527,17,Female
629,760310,16,Male
630,520303,61,Male
631,560322,70,Female
632,460316,67,Male
633,380612,67,Female
635,270629,17,Female
636,350217,17,Male
637,701215,39,Female
638,610203,54,Female
639,780802,31,Male
640,790415,26,Male
641,620704,40,Female
642,631025,40,Male
643,490613,1,Female
644,610423,35,Female
645,251221,14,Male
646,220929,34,Female
647,290406,34,Male
648,350928,70,Female
649,780502,13,Female
651,760127,54,Female
652,381208,61,Male
653,301121,1,Female
654,420517,64,Female
655,421210,32,Male
656,560606,1,Male
657,260710,8,Female
658,261221,8,Male
659,651207,24,Male
660,230322,16,Male
661,190115,16,Female
662,450807,5,Male
663,230120,24,Male
664,800319,77,Female
665,320405,62,Female
666,820523,26,Male
667,810720,26,Female
668,421225,1,Female
669,561219,12,Female
670,590121,1,Male
671,710227,10,Female
672,291109,46,Female
673,391029,36,Male
674,270111,11,Female
675,751112,50,Male
676,530207,70,Male
677,630524,5,Male
678,330528,39,Female
679,400319,8,Male
680,400509,8,Female
681,770115,15,Male
682,791021,18,Male
683,450829,76,Female
684,760410,3,Female
685,301213,72,Female
686,711003,32,Female
687,750128,32,Male
688,540504,1,Male
689,640802,70,Male
690,421107,38,Male
691,440113,38,Female
692,360111,74,Female
693,350317,74,Male
694,360228,29,Male
695,550627,28,Male
696,521201,28,Female
697,740501,1,Male
698,540227,75,Male
699,220422,26,Female
700,291120,12,Male
702,681107,31,Female
703,590426,4,Male
704,750501,54,Male
705,381210,19,Male
706,480805,1,Male
707,411214,1,Male
708,771127,50,Female
709,341229,1,Male
710,251128,23,Male
711,630816,48,Female
712,621204,54,Male
713,800329,20,Female
714,701008,31,Male
715,520115,1,Female
716,541204,1,Female
717,680502,54,Male
718,600228,54,Female
719,740809,46,Male
720,540906,29,Male
721,400215,43,Male
722,701125,62,Female
723,570726,12,Female
724,530202,65,Female
725,561211,75,Male
726,350213,16,Male
727,300720,32,Female
728,320120,32,Male
729,690317,63,Female
730,730814,63,Male
731,790122,74,Female
732,780705,74,Male
733,780728,46,Male
734,850114,46,Female
735,731126,1,Male
736,770426,1,Female
737,521104,74,Male
738,200326,25,Male
739,420416,72,Male
740,231107,55,Male
741,410709,74,Male
742,511015,1,Female
743,410217,1,Male
744,400718,26,Male
745,660214,52,Female
746,620416,52,Male
747,530820,24,Female
748,361015,25,Male
749,330729,25,Female
750,560929,70,Female
751,590309,70,Male
752,441220,72,Male
753,400924,72,Female
754,470604,63,Female
755,471121,72,Male
756,200513,31,Male
757,701220,71,Female
758,610726,68,Female
759,550520,29,Male
760,360825,57,Female
762,370420,21,Male
763,270824,75,Female
764,551013,49,Female
765,691231,65,Male
766,260703,1,Female
767,230616,1,Male
768,310923,32,Female
769,771215,40,Male
772,441210,64,Male
773,351030,4,Male
774,730303,70,Male
775,401130,51,Female
776,530503,1,Female
777,610520,1,Male
778,400604,13,Male
779,440612,69,Female
780,240226,3,Male
781,450920,72,Male
782,630318,5,Female
783,710325,27,Female
784,641228,27,Male
785,340909,63,Male
786,780906,53,Male
787,471208,3,Male
788,740903,47,Male
789,310921,4,Male
790,670509,63,Female
791,500929,68,Female
793,780204,21,Male
794,790716,21,Female
796,190830,1,Male
797,480127,8,Male
798,400212,27,Female
799,360219,27,Male
803,510215,35,Male
804,560123,35,Female
806,800422,60,Male
807,691021,53,Female
808,631128,31,Male
809,191015,49,Male
810,450924,58,Female
811,400528,58,Male
812,401206,39,Male
813,640129,70,Male
814,591001,19,Male
815,641027,22,Female
816,580201,17,Female
818,660427,54,Male
819,580708,74,Male
820,601106,74,Female
821,480512,49,Male
822,590508,37,Female
823,561024,41,Male
824,520905,27,Male
825,770402,74,Male
826,780123,1,Male
827,650904,10,Female
828,581210,10,Male
829,570519,24,Male
830,480827,69,Male
831,480502,2,Male
832,231223,67,Female
833,600611,5,Male
834,221217,54,Male
835,431020,28,Female
836,480614,28,Male
837,741014,71,Male
838,680204,71,Female
839,550518,47,Female
840,370426,20,Male
841,810210,69,Male
842,330703,12,Female
843,570903,54,Female
844,450114,22,Male
845,530130,22,Female
846,491201,35,Male
847,791225,49,Male
849,390606,26,Female
850,690921,19,Male
851,190616,25,Male
852,160604,25,Female
853,490602,70,Male
854,411102,72,Female
855,300128,58,Male
856,190122,23,Male
857,480221,32,Male
858,590329,47,Female
859,680729,1,Female
860,671208,1,Male
861,560913,1,Female
862,520105,30,Male
863,681129,54,Female
864,530327,11,Male
865,461103,11,Female
866,751124,38,Female
870,570506,70,Male
871,740311,76,Male
872,630222,35,Male
873,440105,60,Male
874,520905,14,Female
875,561207,14,Male
876,601125,1,Male
877,270121,5,Female
878,200417,5,Male
879,431208,38,Female
880,600217,49,Male
881,750222,5,Female
882,330909,70,Female
883,200106,75,Female
884,181014,75,Male
885,230208,34,Male
886,480202,34,Male
887,731128,66,Female
888,731026,28,Male
889,811024,54,Female
890,190330,77,Male
891,310131,33,Male
892,220524,42,Female
893,351023,43,Female
894,340818,75,Male
895,700703,39,Male
896,730424,36,Female
897,810325,36,Male
898,430427,38,Female
899,440213,38,Male
900,770410,73,Male
901,191221,39,Male
902,500815,23,Male
903,340306,31,Male
904,320208,1,Male
905,401023,38,Male
906,780616,65,Male
907,480311,51,Male
908,610307,51,Female
909,750907,23,Male
910,610927,1,Male
911,391128,43,Male
912,201029,76,Male
913,381118,1,Male
914,210119,1,Female
915,750503,12,Male
916,580629,3,Male
917,730916,25,Female
918,641223,26,Male
921,540213,7,Female
922,720816,22,Female
923,780822,22,Male
924,530712,1,Male
925,590813,54,Male
926,810122,1,Male
927,741026,1,Male
928,511010,66,Female
929,350423,30,Male
930,590825,68,Female
931,680607,16,Male
932,470927,3,Male
933,780311,33,Female
934,820819,33,Male
935,460517,42,Female
936,430730,42,Male
937,311114,1,Male
938,440807,59,Female
939,520803,21,Male
940,600811,53,Male
941,351005,10,Male
942,310902,12,Female
943,360926,12,Male
944,701218,39,Male
945,770110,39,Female
946,510806,54,Male
948,240422,49,Male
949,760727,3,Male
950,650412,76,Female
951,600917,76,Male
952,510501,63,Female
953,371017,25,Male
954,421020,1,Female
955,700128,57,Male
956,661021,1,Male
957,411223,56,Female
958,420504,56,Male
959,620912,11,Female
960,570413,16,Female
961,311004,15,Female
962,660219,19,Male
963,661217,64,Female
964,531021,10,Female
965,721201,13,Female
966,780902,13,Male
967,790620,76,Male
968,570217,69,Male
970,570329,36,Male
971,190101,46,Female
972,170506,46,Male
973,701006,14,Female
974,630624,14,Male
975,590712,1,Female
976,551119,16,Female
977,260510,76,Female
978,680609,56,Female
979,661118,56,Male
980,610930,40,Male
981,600628,5,Male
984,490703,20,Male
985,470113,20,Female
986,550516,74,Male
987,520520,60,Male
988,391001,40,Female
989,330815,40,Male
990,611224,71,Male
991,410627,32,Male
992,480521,19,Male
993,691031,44,Female
994,710427,36,Male
995,731030,36,Female
996,800626,1,Female
997,501111,59,Male
998,530628,59,Female
999,660901,74,Female
1000,611027,74,Male
1001,470414,44,Male
1002,440308,42,Female
1003,371031,31,Female
1004,570925,3,Male
1006,420628,46,Female
1007,380105,46,Male
1008,560706,6,Male
1009,620427,33,Female
1010,550816,33,Male
1011,390713,16,Male
1012,660213,70,Female
1013,730312,70,Male
1014,310208,1,Male
1015,340313,62,Male
1016,400721,62,Female
1017,430212,6,Female
1018,450228,53,Male
1019,461222,14,Female
1020,770510,72,Female
1021,770805,2,Male
1022,400723,31,Male
1023,381228,1,Male
1024,560329,25,Male
1025,640708,15,Male
1026,790812,57,Male
1027,401104,1,Female
1028,341002,1,Male
1029,540316,1,Female
1030,471011,1,Male
1031,681211,2,Female
1032,381030,1,Female
1033,371014,1,Male
1034,741111,52,Female
1035,710328,13,Female
1036,761206,13,Male
1037,651101,1,Female
1038,610923,69,Female
1039,801011,70,Female
1040,600617,1,Male
1041,610705,72,Male
1042,660925,17,Female
1043,631116,17,Male
1044,710913,9,Female
1045,471224,60,Female
1046,750824,1,Male
1047,630711,16,Female
1048,741003,70,Female
1049,421111,1,Male
1050,710701,27,Female
1051,710826,73,Female
1052,640311,56,Male
1053,580603,56,Female
1054,240820,63,Male
1055,190517,4,Male
1056,630619,1,Male
1057,390221,52,Male
1058,750801,9,Female
1059,600603,26,Male
1060,571217,26,Female
1062,750108,16,Male
1063,760612,16,Female
1064,510203,1,Female
1065,571126,2,Male
1066,401018,1,Male
1067,520514,1,Male
1068,261020,13,Female
1069,380221,54,Female
1070,381202,54,Male
1071,250125,43,Male
1072,661208,60,Female
1073,240410,34,Male
1074,280825,34,Female
1075,340604,65,Female
1076,790511,53,Female
1077,200623,46,Male
1078,781215,24,Female
1079,610715,3,Male
1080,501006,54,Female
1081,701216,71,Male
1082,670223,9,Male
1083,371215,48,Male
1084,440409,48,Female
1085,321219,60,Female
1086,730504,74,Male
1087,780730,74,Female
1088,690823,47,Female
1089,391209,1,Male
1090,390620,35,Female
1091,400627,59,Female
1092,620720,41,Female
1093,760728,62,Female
1094,601004,30,Female
1095,540216,30,Male
1096,260303,1,Female
1097,300902,1,Male
1098,480910,60,Female
1099,791121,65,Female
1100,510704,59,Male
1101,460622,74,Male
1102,350129,72,Male
1103,510818,1,Male
1104,550209,1,Female
1105,420103,56,Male
1106,400225,56,Female
1107,610426,60,Male
1108,551222,62,Female
1109,310901,58,Female
1110,280324,10,Female
1111,790604,61,Male
1112,300725,13,Female
1113,760820,11,Male
1114,800618,59,Male
1115,200824,36,Female
1116,730419,69,Female
1117,761101,20,Female
1118,691103,20,Male
1119,800105,54,Female
1120,731021,41,Female
1121,390302,59,Male
1122,210218,20,Male
1123,220826,20,Female
1124,280412,21,Male
1125,340330,9,Female
1126,351023,9,Male
1127,741112,23,Male
1128,300716,7,Male
1129,310924,43,Male
1130,401126,70,Female
1131,471028,55,Female
1132,480321,55,Male
1133,580915,37,Female
1134,591001,37,Male
1135,520721,8,Male
1136,760918,9,Female
1137,770305,1,Female
1138,700930,70,Female
1139,730922,70,Male
1140,460224,18,Male
1141,410422,21,Female
1142,461119,59,Female
1143,460515,59,Male
1145,680914,58,Female
1146,651114,54,Male
1147,300512,3,Male
1148,410515,41,Male
1149,760925,14,Female
1150,450624,74,Female
1151,730306,59,Male
1152,810312,74,Male
1153,801115,70,Female
1154,240131,72,Male
1155,220710,72,Female
1156,331111,1,Female
1157,581230,4,Female
1158,540821,1,Female
1159,440203,64,Male
1160,380728,64,Female
1161,730525,7,Male
1162,750219,26,Female
1163,640828,20,Male
1164,590914,15,Female
1165,421002,15,Female
1166,590627,74,Male
1167,540317,74,Female
1168,780531,19,Male
1169,410124,18,Female
1170,770428,12,Male
1171,740328,46,Female
1172,230613,54,Female
1173,220602,54,Male
1174,700313,29,Female
1175,251025,1,Male
1176,180831,1,Female
1177,390621,77,Female
1178,711004,1,Female
1179,301005,1,Female
1180,441006,21,Male
1181,391112,1,Male
1182,461016,66,Female
1183,421129,54,Male
1186,470805,2,Female
1187,610906,32,Female
1188,680919,32,Male
1189,320215,74,Female
1190,760412,15,Female
1191,770602,15,Male
1192,250101,10,Female
1193,260129,19,Male
1194,390614,17,Female
1195,390122,39,Female
1196,430416,22,Male
1197,661002,6,Female
1198,750217,72,Female
1199,761024,64,Female
1200,311117,47,Female
1201,450910,54,Male
1202,801011,47,Female
1204,741109,77,Female
1206,570621,50,Male
1207,390917,28,Female
1208,750901,70,Female
1209,570409,36,Female
1210,611012,6,Male
1211,780714,1,Male
1212,270919,13,Female
1213,660428,1,Male
1214,401115,61,Male
1215,440506,45,Male
1216,450612,65,Female
1217,370417,59,Male
1218,800527,74,Male
1219,440731,1,Male
1220,531216,40,Female
1221,730518,14,Female
1222,391130,7,Female
1223,550813,14,Female
1224,380512,56,Male
1225,460821,42,Male
1226,510414,33,Female
1227,551002,33,Male
1228,490828,21,Female
1229,710202,19,Male
1231,650927,20,Female
1232,590413,20,Male
1233,421022,68,Male
1234,750115,23,Male
1235,790712,23,Female
1236,670428,26,Female
1237,231107,57,Male
1238,350901,74,Male
1239,760909,11,Female
1240,760824,32,Female
1241,421217,73,Female
1242,440821,73,Female
1243,741005,11,Female
1244,640502,1,Male
1245,790813,64,Male
1246,621119,70,Male
1247,691009,70,Female
1248,710624,19,Male
1250,520801,43,Female
1251,590530,1,Male
1252,530819,1,Female
1253,670828,14,Female
1254,390831,3,Female
1255,660807,1,Female
1256,551113,46,Female
1257,280901,35,Female
1258,240920,35,Male
1259,660929,18,Male
1260,450103,57,Female
1261,510928,57,Male
1262,520403,35,Male
1263,590225,35,Female
1264,761003,61,Female
1265,581221,57,Female
1266,521124,71,Female
1267,540211,29,Female
1268,490330,29,Male
1269,481231,1,Female
1270,300516,13,Male
1271,351129,47,Male
1272,440415,8,Male
1273,780615,6,Male
1274,760125,44,Male
1275,511010,1,Female
1276,420426,68,Female
1277,310407,70,Male
1278,780912,72,Male
1279,560711,16,Male
1280,520508,34,Male
1281,491228,34,Female
1282,361127,52,Male
1283,390209,66,Female
1284,430804,66,Male
1285,391126,62,Male
1286,500313,52,Female
1287,440809,65,Female
1288,720520,73,Male
1289,460918,59,Male
1290,760129,35,Male
1291,640418,1,Female
1292,770428,14,Male
1293,270129,1,Male
1294,300529,1,Female
1295,440209,74,Female
1296,590801,55,Female
1297,180128,64,Female
1298,210315,64,Male
1299,201016,2,Female
1300,791027,45,Male
1303,400816,42,Female
1304,360728,37,Male
1305,450428,55,Female
1306,221008,32,Female
1307,530408,74,Male
1308,540218,69,Male
1309,750617,1,Male
1310,770924,41,Female
1311,561218,54,Female
1312,350403,35,Female
1313,701120,54,Male
1314,750609,54,Female
1315,230226,34,Male
1316,461113,67,Female
1317,450518,67,Male
1318,310310,47,Male
1321,771109,35,Female
1322,450922,4,Female
1323,440106,70,Male
1324,560807,66,Female
1325,450919,39,Male
1326,560512,55,Female
1327,631231,20,Female
1328,370605,42,Female
1329,180216,26,Male
1330,680917,66,Male
1331,631124,54,Male
1332,571127,5,Female
1333,490420,48,Male
1334,780206,8,Male
1335,610125,1,Female
1336,621104,1,Male
1337,790329,56,Female
1338,830726,56,Male
1339,590504,22,Male
1340,390320,68,Female
1341,620617,69,Female
1343,390816,1,Female
1344,350218,1,Male
1345,680522,32,Male
1346,540829,13,Male
1347,700306,13,Male
1348,750607,13,Female
1349,680107,26,Female
1350,590428,1,Male
1351,510924,1,Female
1352,710401,54,Female
1353,590213,27,Male
1354,210114,64,Male
1355,760201,35,Female
1356,320918,1,Male
1359,510904,1,Female
1360,460819,1,Male
1361,220929,1,Female
1362,290103,1,Male
1363,791227,6,Female
1364,331228,1,Male
1365,380223,1,Female
1366,800302,12,Female
1367,651027,60,Female
1368,571230,60,Male
1369,781023,41,Male
1370,650111,34,Female
1371,481022,49,Female
1372,761207,28,Female
1373,750208,74,Female
1375,770127,69,Male
1376,580903,18,Male
1377,510723,18,Female
1378,411125,74,Female
1379,370218,74,Male
1380,530729,44,Female
1382,791123,18,Female
1383,821005,29,Male
1384,530424,40,Female
1385,530830,22,Male
1386,560809,22,Female
1387,770222,1,Female
1388,620906,5,Female
1389,270304,43,Female
1390,790527,59,Female
1391,651122,41,Male
1392,320206,50,Male
1393,340501,50,Female
1394,420822,49,Female
1395,411018,49,Male
1396,460314,39,Female
1397,211225,66,Female
1401,810724,35,Male
1402,361125,44,Male
1403,440102,44,Female
1404,681220,11,Female
1406,481112,29,Female
1407,410804,29,Male
1408,690807,49,Male
1409,510430,25,Male
1410,440203,18,Male
1411,390806,18,Female
1412,791105,6,Male
1413,690716,11,Female
1414,741113,70,Female
1416,271202,19,Male
1417,661112,27,Female
1418,740616,41,Female
1419,180125,74,Female
1420,160120,74,Male
1421,560210,20,Female
1422,760223,69,Female
1423,820411,69,Male
1424,520105,8,Male
1425,680827,12,Male
1426,640430,12,Female
1427,651216,14,Female
1428,200423,12,Male
1429,270904,12,Female
1430,820529,64,Female
