loan_id,account_id,loan_amount,loan_duration,loan_payments,status,account_district_id,disp_id,client_id,has_disponent,client_district_id,last_balance,monthly_diff,code,region,no. of municipalities with inhabitants < 499,no. of municipalities with inhabitants 500-1999,no. of municipalities with inhabitants > 2000,no. of cities ,ratio of urban inhabitants,average salary,ratio enterpreneurs,unemploymant rate growth,crime rate growth,age_on_loan_request,age_on_loan_request_disc,account_frequency_issuance after transaction,account_frequency_monthly issuance,account_frequency_weekly issuance,gender_Female,gender_Male
5189,1166,149040,48,3105,1.0,11,1404,1404,False,11,19048.1,-14529,11,1.0,35,36,9,7,0.365,9622,0.154,0.13999999999999996,0.0007139363010166982,25,1.0,0.0,1.0,0.0,1.0,0.0
6650,8073,49320,12,4110,-1.0,24,9665,9973,False,24,15673.6,12830,24,7.0,25,21,8,8,0.8,8991,0.128,0.6199999999999999,0.0006117305449295695,48,3.0,1.0,0.0,0.0,1.0,0.0
7226,10940,197748,36,5493,1.0,50,13139,13447,True,13,43294.5,7215,13,1.0,61,22,2,2,0.413,8598,0.123,0.48999999999999977,0.005155690732738636,24,1.0,0.0,1.0,0.0,1.0,0.0
6087,5313,300660,60,5011,1.0,40,6417,6417,False,40,33918.9,7349,40,3.0,9,16,9,8,0.853,9317,0.097,0.5800000000000001,-0.0006010084453394527,44,3.0,0.0,1.0,0.0,0.0,1.0
7262,11135,182628,36,5073,1.0,75,13379,13687,False,75,45660.9,9132,75,4.0,67,30,6,5,0.6459999999999999,8819,0.099,0.28000000000000025,0.003202156021792048,35,2.0,0.0,1.0,0.0,0.0,1.0
5519,2694,91632,12,7636,1.0,7,3251,3251,True,52,33061.9,5109,52,2.0,59,41,11,10,0.619,8363,0.108,0.9700000000000002,0.0016905015394354445,31,2.0,0.0,1.0,0.0,1.0,0.0
6577,7753,51696,24,2154,1.0,74,9285,9593,False,74,38202.2,2938,74,4.0,0,0,1,1,1.0,10673,0.1,0.6900000000000004,-0.0013431315033809862,26,1.0,0.0,1.0,0.0,1.0,0.0
6509,7445,55368,24,2307,1.0,64,8918,9226,False,64,12414.4,1034,64,6.0,29,41,12,10,0.747,9624,0.145,0.71,-0.0011111167484360652,54,4.0,0.0,1.0,0.0,1.0,0.0
6520,7485,91200,24,3800,1.0,39,8965,9273,True,39,32715.3,-16279,39,3.0,17,4,5,4,0.899,10446,0.09,2.0600000000000005,-0.0017014888027023646,39,2.0,0.0,1.0,0.0,1.0,0.0
6699,8330,7656,24,319,1.0,48,9979,10287,True,48,36353.1,5501,48,2.0,50,24,9,9,0.59,9060,0.124,0.6599999999999999,0.0007852574251155721,32,2.0,0.0,1.0,0.0,1.0,0.0
6336,6555,212400,36,5900,1.0,38,7914,7914,False,38,64221.1,4940,38,3.0,41,23,6,4,0.598,8965,0.104,1.1500000000000004,0.001968503937007874,27,1.0,0.0,0.0,1.0,1.0,0.0
7055,10079,167100,60,2785,1.0,62,12088,12396,True,62,39310.2,3573,62,6.0,22,41,15,5,0.40700000000000003,8544,0.109,0.5700000000000001,0.0012835648783702158,24,1.0,0.0,1.0,0.0,1.0,0.0
6103,5385,149340,60,2489,1.0,44,6499,6499,False,44,23568.3,-8021,44,2.0,77,26,9,7,0.53,8254,0.097,0.9699999999999998,0.0015055962729390376,31,2.0,0.0,0.0,1.0,0.0,1.0
6202,5891,65184,12,5432,1.0,54,7127,7127,False,3,67995.4,-30233,3,1.0,55,26,5,5,0.41700000000000004,8980,0.111,0.26,-0.00014621437686091024,37,2.0,0.0,1.0,0.0,0.0,1.0
7066,10131,215388,36,5983,-1.0,1,12156,12464,False,39,30662.8,5110,39,3.0,17,4,5,4,0.899,10446,0.09,2.0600000000000005,-0.0017014888027023646,34,2.0,0.0,1.0,0.0,0.0,1.0
6696,8321,89040,60,1484,1.0,77,9967,10275,True,77,29305.8,6587,77,4.0,8,35,15,4,0.535,8909,0.113,1.5499999999999998,0.0008751556767309569,24,1.0,0.0,1.0,0.0,1.0,0.0
6072,5256,193968,36,5388,1.0,72,6349,6349,False,72,80780.0,11540,72,4.0,32,50,11,4,0.626,8994,0.11,0.9900000000000002,-0.0020519896339144354,21,1.0,1.0,0.0,0.0,0.0,1.0
5130,813,24312,12,2026,1.0,16,976,976,False,16,28461.9,-11066,16,5.0,74,21,11,8,0.569,8427,0.107,0.41999999999999993,0.00041519839030777913,38,2.0,0.0,1.0,0.0,1.0,0.0
5568,2933,272520,60,4542,1.0,10,3542,3542,True,10,30009.9,8098,10,1.0,55,29,7,5,0.467,10124,0.141,-0.020000000000000018,0.005494982841753182,55,4.0,0.0,1.0,0.0,0.0,1.0
6678,8173,80340,12,6695,1.0,11,9787,10095,True,1,89342.6,-33947,1,0.0,0,0,1,1,1.0,12541,0.167,0.14,0.01114566294286997,18,0.0,0.0,1.0,0.0,1.0,0.0
6998,9833,97632,12,8136,1.0,20,11794,12102,False,21,41330.1,-39656,21,5.0,87,16,8,7,0.67,9104,0.123,0.5599999999999998,0.000532187678403824,26,1.0,0.0,1.0,0.0,1.0,0.0
6580,7769,196080,48,4085,1.0,23,9303,9611,False,23,86857.4,10857,23,7.0,21,11,7,9,0.855,8624,0.102,0.8700000000000001,0.003649092302588682,36,2.0,0.0,1.0,0.0,0.0,1.0
6316,6473,76908,12,6409,-1.0,12,7815,7815,False,4,14888.6,930,4,1.0,63,29,8,6,0.674,9753,0.109,0.41000000000000014,0.004323083799777174,48,3.0,0.0,1.0,0.0,1.0,0.0
6512,7454,63312,48,1319,1.0,4,8928,9236,False,31,28553.5,3941,31,7.0,34,12,4,4,0.5920000000000001,8930,0.108,0.6800000000000002,0.0024165416171340595,38,2.0,0.0,1.0,0.0,1.0,0.0
6407,6930,25944,24,1081,1.0,41,8366,8366,False,41,69398.9,7711,41,3.0,8,8,6,3,0.856,9832,0.114,1.1600000000000006,-0.008209018120522545,34,2.0,0.0,1.0,0.0,1.0,0.0
5002,173,104808,12,8734,1.0,66,210,210,True,66,28015.4,7538,66,6.0,151,41,5,5,0.483,8512,0.102,0.6100000000000003,-0.0011443829868395957,54,4.0,0.0,1.0,0.0,0.0,1.0
6647,8051,208320,48,4340,1.0,1,9637,9945,True,31,44183.1,-23278,31,7.0,34,12,4,4,0.5920000000000001,8930,0.108,0.6800000000000002,0.0024165416171340595,26,1.0,0.0,0.0,1.0,1.0,0.0
7137,10439,151560,24,6315,1.0,66,12535,12843,False,66,21323.2,-30689,66,6.0,151,41,5,5,0.483,8512,0.102,0.6100000000000003,-0.0011443829868395957,41,3.0,0.0,1.0,0.0,0.0,1.0
6903,9337,52128,24,2172,1.0,30,11189,11497,False,11,58844.8,6538,11,1.0,35,36,9,7,0.365,9622,0.154,0.13999999999999996,0.0007139363010166982,35,2.0,0.0,1.0,0.0,1.0,0.0
5918,4576,300204,36,8339,1.0,27,5517,5517,False,57,33947.4,2827,57,6.0,21,37,23,8,0.48,8720,0.116,0.77,-0.00048161823727725157,30,2.0,0.0,1.0,0.0,0.0,1.0
6642,8027,77640,12,6470,1.0,44,9607,9915,False,27,30825.8,-34251,27,7.0,71,19,10,7,0.43799999999999994,8561,0.11,0.64,0.0014562096941959641,27,1.0,0.0,0.0,1.0,0.0,1.0
6210,5927,87216,48,1817,-1.0,15,7166,7166,False,15,21705.9,-7026,15,5.0,22,16,8,5,0.519,9045,0.124,0.4700000000000002,0.0005782706306551466,30,2.0,0.0,1.0,0.0,0.0,1.0
6279,6273,87360,24,3640,1.0,38,7576,7576,False,38,29057.9,2641,38,3.0,41,23,6,4,0.598,8965,0.104,1.1500000000000004,0.001968503937007874,32,2.0,0.0,1.0,0.0,0.0,1.0
7249,11065,69360,48,1445,1.0,11,13295,13603,False,46,38665.0,2577,46,2.0,48,20,10,10,0.735,8369,0.117,0.52,-0.0020938877995546053,53,4.0,0.0,1.0,0.0,0.0,1.0
6736,8558,288360,60,4806,1.0,1,10247,10555,False,1,43450.3,10862,1,0.0,0,0,1,1,1.0,12541,0.167,0.14,0.01114566294286997,58,4.0,1.0,0.0,0.0,0.0,1.0
6112,5442,174744,24,7281,-1.0,34,6567,6567,False,5,6930.8,10912,5,1.0,65,30,5,6,0.514,9307,0.118,0.5799999999999996,0.004434404283801874,16,0.0,0.0,1.0,0.0,1.0,0.0
5319,1811,239460,60,3991,1.0,40,2195,2195,False,68,36240.6,-17711,68,4.0,15,40,20,6,0.5720000000000001,9893,0.096,0.6299999999999999,0.00115360413899182,52,4.0,0.0,1.0,0.0,1.0,0.0
6596,7844,91584,24,3816,1.0,1,9394,9702,False,33,49842.9,-29379,33,3.0,24,17,10,11,0.847,8705,0.116,1.8600000000000003,0.001562301441951905,43,3.0,0.0,1.0,0.0,1.0,0.0
5837,4260,244560,60,4076,1.0,56,5134,5134,False,58,21326.1,-16747,58,6.0,98,16,7,4,0.636,8757,0.096,0.5700000000000003,0.002372577040049833,27,1.0,0.0,1.0,0.0,1.0,0.0
5657,3354,4980,12,415,1.0,63,4056,4056,False,63,22500.3,4779,63,6.0,38,36,6,5,0.505,8288,0.11,0.7299999999999995,-0.0011790135586559245,42,3.0,0.0,1.0,0.0,1.0,0.0
5533,2762,111384,24,4641,1.0,19,3335,3335,False,11,52318.9,9941,11,1.0,35,36,9,7,0.365,9622,0.154,0.13999999999999996,0.0007139363010166982,27,1.0,0.0,1.0,0.0,0.0,1.0
6232,6051,276660,36,7685,-1.0,56,7311,7311,False,56,19783.2,1798,56,6.0,11,42,15,8,0.46,8772,0.126,0.29000000000000004,0.002439709481963003,45,3.0,0.0,1.0,0.0,0.0,1.0
6888,9265,39576,12,3298,1.0,1,11101,11409,False,32,23901.1,10706,32,3.0,32,19,9,10,0.81,9272,0.118,0.4200000000000004,0.0015705610234346742,14,0.0,0.0,1.0,0.0,1.0,0.0
6066,5228,173808,24,7242,1.0,77,6317,6317,True,77,94431.9,-46238,77,4.0,8,35,15,4,0.535,8909,0.113,1.5499999999999998,0.0008751556767309569,37,2.0,1.0,0.0,0.0,1.0,0.0
5549,2824,50460,60,841,1.0,11,3414,3414,False,11,41531.0,8663,11,1.0,35,36,9,7,0.365,9622,0.154,0.13999999999999996,0.0007139363010166982,47,3.0,0.0,1.0,0.0,1.0,0.0
5060,426,252060,60,4201,-1.0,1,512,512,False,60,70096.5,14001,60,6.0,49,41,5,4,0.519,8441,0.115,1.0300000000000002,0.0033712028777238504,29,1.0,0.0,1.0,0.0,1.0,0.0
6004,4937,143904,24,5996,1.0,12,5965,5965,False,50,38336.2,5536,50,2.0,75,33,5,6,0.52,8187,0.094,0.6200000000000001,0.00010720307185529534,43,3.0,0.0,1.0,0.0,0.0,1.0
5126,790,208128,48,4336,-1.0,54,946,946,False,54,81474.6,5431,54,6.0,0,0,1,1,1.0,9897,0.14,0.3599999999999999,-6.450447661067678e-05,43,3.0,0.0,1.0,0.0,0.0,1.0
7220,10911,131292,36,3647,1.0,1,13104,13412,False,1,31361.3,-16763,1,0.0,0,0,1,1,1.0,12541,0.167,0.14,0.01114566294286997,40,3.0,0.0,0.0,1.0,0.0,1.0
6668,8129,74736,36,2076,1.0,45,9735,10043,False,45,33243.7,6362,45,2.0,85,19,7,5,0.535,8390,0.132,0.6100000000000003,0.0005390351271224508,29,1.0,0.0,1.0,0.0,0.0,1.0
5395,2176,299088,36,8308,-1.0,67,2635,2635,False,67,19448.5,6720,67,4.0,38,25,8,6,0.631,8110,0.109,0.7800000000000002,-0.0015558111905255812,28,1.0,0.0,1.0,0.0,1.0,0.0
6836,9093,189300,60,3155,1.0,47,10887,11195,False,58,24552.0,4278,58,6.0,98,16,7,4,0.636,8757,0.096,0.5700000000000003,0.002372577040049833,41,3.0,0.0,1.0,0.0,0.0,1.0
6064,5215,14628,12,1219,1.0,55,6301,6301,False,55,34917.4,6788,55,6.0,49,70,18,9,0.33899999999999997,8743,0.111,0.5500000000000003,0.001496414971790986,45,3.0,0.0,1.0,0.0,1.0,0.0
6919,9403,120888,36,3358,1.0,1,11266,11574,False,1,52014.4,5336,1,0.0,0,0,1,1,1.0,12541,0.167,0.14,0.01114566294286997,50,4.0,0.0,0.0,1.0,1.0,0.0
6841,9104,172080,48,3585,1.0,10,10900,11208,False,10,58209.4,8315,10,1.0,55,29,7,5,0.467,10124,0.141,-0.020000000000000018,0.005494982841753182,37,2.0,0.0,1.0,0.0,1.0,0.0
6038,5120,323472,48,6739,1.0,1,6178,6178,False,1,72386.4,6015,1,0.0,0,0,1,1,1.0,12541,0.167,0.14,0.01114566294286997,54,4.0,0.0,1.0,0.0,1.0,0.0
6729,8519,74688,12,6224,1.0,23,10202,10510,True,23,28933.3,-27064,23,7.0,21,11,7,9,0.855,8624,0.102,0.8700000000000001,0.003649092302588682,50,4.0,0.0,1.0,0.0,1.0,0.0
7198,10788,45768,12,3814,1.0,67,12952,13260,False,72,54427.5,6047,72,4.0,32,50,11,4,0.626,8994,0.11,0.9900000000000002,-0.0020519896339144354,17,0.0,0.0,0.0,1.0,1.0,0.0
6686,8260,224604,36,6239,1.0,31,9890,10198,True,31,40287.4,-38368,31,7.0,34,12,4,4,0.5920000000000001,8930,0.108,0.6800000000000002,0.0024165416171340595,18,0.0,0.0,1.0,0.0,0.0,1.0
5836,4259,79632,24,3318,1.0,66,5133,5133,False,66,99262.5,-28668,66,6.0,151,41,5,5,0.483,8512,0.102,0.6100000000000003,-0.0011443829868395957,35,2.0,0.0,1.0,0.0,1.0,0.0
7061,10105,121896,24,5079,1.0,55,12124,12432,False,55,41917.2,2619,55,6.0,49,70,18,9,0.33899999999999997,8743,0.111,0.5500000000000003,0.001496414971790986,29,1.0,0.0,1.0,0.0,0.0,1.0
5595,3050,82896,12,6908,1.0,60,3687,3687,True,49,64300.6,-32945,49,2.0,31,28,6,9,0.608,8208,0.155,0.3699999999999999,0.006117460527185043,23,1.0,0.0,1.0,0.0,0.0,1.0
5723,3674,23628,12,1969,1.0,38,4428,4428,False,38,64096.3,9896,38,3.0,41,23,6,4,0.598,8965,0.104,1.1500000000000004,0.001968503937007874,41,3.0,0.0,1.0,0.0,0.0,1.0
6120,5481,209184,48,4358,1.0,52,6616,6616,False,1,44254.7,-35828,1,0.0,0,0,1,1,1.0,12541,0.167,0.14,0.01114566294286997,41,3.0,0.0,1.0,0.0,0.0,1.0
6895,9307,41904,12,3492,1.0,68,11153,11461,False,70,39204.7,7501,70,4.0,0,2,13,7,0.899,10177,0.081,1.12,0.0008059231850084271,20,1.0,0.0,1.0,0.0,0.0,1.0
5882,4427,87816,12,7318,1.0,32,5337,5337,True,1,15665.6,4420,1,0.0,0,0,1,1,1.0,12541,0.167,0.14,0.01114566294286997,33,2.0,0.0,1.0,0.0,0.0,1.0
5754,3834,23052,12,1921,1.0,54,4620,4620,True,54,28531.7,6644,54,6.0,0,0,1,1,1.0,9897,0.14,0.3599999999999999,-6.450447661067678e-05,54,4.0,0.0,1.0,0.0,1.0,0.0
6594,7824,189696,24,7904,-1.0,60,9367,9675,False,60,22500.0,5625,60,6.0,49,41,5,4,0.519,8441,0.115,1.0300000000000002,0.0033712028777238504,25,1.0,0.0,1.0,0.0,1.0,0.0
6738,8566,230220,36,6395,-1.0,74,10258,10566,False,74,6325.5,9114,74,4.0,0,0,1,1,1.0,10673,0.1,0.6900000000000004,-0.0013431315033809862,52,4.0,0.0,1.0,0.0,1.0,0.0
6624,7965,71460,12,5955,1.0,55,9536,9844,True,55,53022.0,9617,55,6.0,49,70,18,9,0.33899999999999997,8743,0.111,0.5500000000000003,0.001496414971790986,49,3.0,0.0,1.0,0.0,0.0,1.0
6216,5952,141240,24,5885,1.0,50,7195,7195,False,50,45871.6,-28136,50,2.0,75,33,5,6,0.52,8187,0.094,0.6200000000000001,0.00010720307185529534,32,2.0,0.0,1.0,0.0,0.0,1.0
6229,6040,11736,24,489,1.0,1,7299,7299,False,1,26984.4,7904,1,0.0,0,0,1,1,1.0,12541,0.167,0.14,0.01114566294286997,56,4.0,0.0,1.0,0.0,0.0,1.0
5887,4448,192744,36,5354,1.0,60,5366,5366,True,60,29019.1,1813,60,6.0,49,41,5,4,0.519,8441,0.115,1.0300000000000002,0.0033712028777238504,23,1.0,0.0,1.0,0.0,1.0,0.0
6808,8982,227880,36,6330,1.0,64,10755,11063,True,64,53716.6,4132,64,6.0,29,41,12,10,0.747,9624,0.145,0.71,-0.0011111167484360652,39,2.0,0.0,1.0,0.0,1.0,0.0
6297,6363,17508,12,1459,1.0,74,7683,7683,False,12,48027.0,3201,12,1.0,84,29,7,6,0.58,8754,0.137,0.47999999999999954,0.0005933067581347919,49,3.0,0.0,1.0,0.0,0.0,1.0
5161,1012,98184,24,4091,1.0,65,1216,1216,False,65,68956.1,-7305,65,6.0,101,41,5,4,0.43700000000000006,8403,0.105,-0.020000000000000462,0.0049124343257443085,49,3.0,0.0,1.0,0.0,1.0,0.0
5390,2167,170256,24,7094,1.0,16,2623,2623,False,16,43302.8,6834,16,5.0,74,21,11,8,0.569,8427,0.107,0.41999999999999993,0.00041519839030777913,29,1.0,0.0,1.0,0.0,1.0,0.0
6150,5622,83016,12,6918,1.0,70,6789,6789,False,57,93620.2,9124,57,6.0,21,37,23,8,0.48,8720,0.116,0.77,-0.00048161823727725157,16,0.0,0.0,1.0,0.0,0.0,1.0
6223,5991,61056,48,1272,1.0,1,7241,7241,False,57,33525.3,5900,57,6.0,21,37,23,8,0.48,8720,0.116,0.77,-0.00048161823727725157,37,2.0,0.0,1.0,0.0,1.0,0.0
5032,290,123696,48,2577,1.0,56,352,352,False,56,25187.2,5522,56,6.0,11,42,15,8,0.46,8772,0.126,0.29000000000000004,0.002439709481963003,54,4.0,0.0,1.0,0.0,0.0,1.0
6253,6148,59760,24,2490,1.0,74,7422,7422,True,74,41133.1,7306,74,4.0,0,0,1,1,1.0,10673,0.1,0.6900000000000004,-0.0013431315033809862,36,2.0,0.0,1.0,0.0,0.0,1.0
6460,7133,48672,36,1352,1.0,1,8610,8610,True,55,23110.0,3513,55,6.0,49,70,18,9,0.33899999999999997,8743,0.111,0.5500000000000003,0.001496414971790986,47,3.0,0.0,1.0,0.0,1.0,0.0
6645,8041,140400,36,3900,1.0,1,9625,9933,False,74,28271.8,2174,74,4.0,0,0,1,1,1.0,10673,0.1,0.6900000000000004,-0.0013431315033809862,53,4.0,0.0,1.0,0.0,0.0,1.0
5176,1106,192552,24,8023,-1.0,20,1327,1327,False,20,22225.5,1481,20,5.0,94,14,4,4,0.584,8547,0.12,0.9900000000000002,-0.00029725674489709255,31,2.0,0.0,0.0,1.0,1.0,0.0
5269,1527,164052,36,4557,-1.0,31,1851,1851,False,31,20811.2,1734,31,7.0,34,12,4,4,0.5920000000000001,8930,0.108,0.6800000000000002,0.0024165416171340595,19,0.0,1.0,0.0,0.0,1.0,0.0
5351,1978,205200,36,5700,1.0,57,2403,2403,False,1,54586.0,-21594,1,0.0,0,0,1,1,1.0,12541,0.167,0.14,0.01114566294286997,32,2.0,0.0,0.0,1.0,1.0,0.0
5861,4337,51408,24,2142,1.0,29,5224,5224,False,29,49198.8,3784,29,7.0,52,10,6,6,0.556,8843,0.113,0.7800000000000002,0.0015312595703723148,45,3.0,0.0,1.0,0.0,0.0,1.0
5450,2345,199680,60,3328,1.0,5,2834,2834,False,52,19938.6,-16223,52,2.0,59,41,11,10,0.619,8363,0.108,0.9700000000000002,0.0016905015394354445,46,3.0,0.0,1.0,0.0,0.0,1.0
7142,10451,482940,60,8049,-1.0,1,12551,12859,False,1,18439.4,6792,1,0.0,0,0,1,1,1.0,12541,0.167,0.14,0.01114566294286997,19,0.0,0.0,1.0,0.0,1.0,0.0
6306,6425,36684,12,3057,1.0,31,7753,7753,False,70,35093.0,1671,70,4.0,0,2,13,7,0.899,10177,0.081,1.12,0.0008059231850084271,16,0.0,0.0,1.0,0.0,1.0,0.0
6272,6226,398640,60,6644,1.0,74,7521,7521,False,74,59316.9,-39890,74,4.0,0,0,1,1,1.0,10673,0.1,0.6900000000000004,-0.0013431315033809862,35,2.0,0.0,0.0,1.0,1.0,0.0
5044,344,100980,60,1683,1.0,54,421,421,False,54,48637.7,6906,54,6.0,0,0,1,1,1.0,9897,0.14,0.3599999999999999,-6.450447661067678e-05,29,1.0,0.0,1.0,0.0,0.0,1.0
5576,2962,31248,12,2604,1.0,1,3576,3576,False,1,53922.3,2838,1,0.0,0,0,1,1,1.0,12541,0.167,0.14,0.01114566294286997,56,4.0,0.0,1.0,0.0,1.0,0.0
7192,10738,115992,36,3222,1.0,45,12893,13201,False,31,9669.5,7065,31,7.0,34,12,4,4,0.5920000000000001,8930,0.108,0.6800000000000002,0.0024165416171340595,58,4.0,0.0,0.0,1.0,0.0,1.0
5739,3747,76380,12,6365,1.0,1,4520,4520,False,1,23156.6,5113,1,0.0,0,0,1,1,1.0,12541,0.167,0.14,0.01114566294286997,38,2.0,0.0,1.0,0.0,1.0,0.0
6526,7523,288468,36,8013,1.0,63,9008,9316,False,63,48665.3,9768,63,6.0,38,36,6,5,0.505,8288,0.11,0.7299999999999995,-0.0011790135586559245,36,2.0,0.0,1.0,0.0,1.0,0.0
5624,3166,177744,48,3703,-1.0,71,3829,3829,False,59,14230.7,837,59,6.0,41,29,9,6,0.621,8444,0.106,0.22999999999999998,-0.0026637029144583957,23,1.0,0.0,1.0,0.0,0.0,1.0
6244,6118,270648,36,7518,-1.0,1,7390,7390,False,1,50996.5,5099,1,0.0,0,0,1,1,1.0,12541,0.167,0.14,0.01114566294286997,57,4.0,0.0,0.0,1.0,0.0,1.0
