code,region,no. of municipalities with inhabitants < 499,no. of municipalities with inhabitants 500-1999,no. of municipalities with inhabitants > 2000,no. of cities ,ratio of urban inhabitants,average salary,ratio enterpreneurs,unemploymant rate growth,crime rate growth
53,south Moravia,88,33,8,7,0.509,8240,0.099,1.0300000000000002,0.00049114548099823
54,south Moravia,0,0,1,1,1.0,9897,0.14,0.3599999999999999,-6.450447661067678e-05
55,south Moravia,49,70,18,9,0.33899999999999997,8743,0.111,0.5500000000000003,0.001496414971790986
56,south Moravia,11,42,15,8,0.46,8772,0.126,0.29000000000000004,0.002439709481963003
57,south Moravia,21,37,23,8,0.48,8720,0.116,0.77,-0.00048161823727725157
58,south Moravia,98,16,7,4,0.636,8757,0.096,0.5700000000000003,0.002372577040049833
59,south Moravia,41,29,9,6,0.621,8444,0.106,0.22999999999999998,-0.0026637029144583957
60,south Moravia,49,41,5,4,0.519,8441,0.115,1.0300000000000002,0.0033712028777238504
61,south Moravia,139,28,6,6,0.5379999999999999,8814,0.107,0.9800000000000004,-0.00044954494177120704
62,south Moravia,22,41,15,5,0.40700000000000003,8544,0.109,0.5700000000000001,0.0012835648783702158
63,south Moravia,38,36,6,5,0.505,8288,0.11,0.7299999999999995,-0.0011790135586559245
64,south Moravia,29,41,12,10,0.747,9624,0.145,0.71,-0.0011111167484360652
65,south Moravia,101,41,5,4,0.43700000000000006,8403,0.105,-0.020000000000000462,0.0049124343257443085
66,south Moravia,151,41,5,5,0.483,8512,0.102,0.6100000000000003,-0.0011443829868395957
67,north Moravia,38,25,8,6,0.631,8110,0.109,0.7800000000000002,-0.0015558111905255812
68,north Moravia,15,40,20,6,0.5720000000000001,9893,0.096,0.6299999999999999,0.00115360413899182
69,north Moravia,4,13,6,3,0.484,8173,0.124,4.185,-0.03675766563134911
70,north Moravia,0,2,13,7,0.899,10177,0.081,1.12,0.0008059231850084271
71,north Moravia,5,35,15,10,0.6970000000000001,8678,0.102,-0.35999999999999943,-0.002387937504264174
72,north Moravia,32,50,11,4,0.626,8994,0.11,0.9900000000000002,-0.0020519896339144354
73,north Moravia,17,49,14,7,0.564,8746,0.09,0.41000000000000014,0.0004285078587242552
74,north Moravia,0,0,1,1,1.0,10673,0.1,0.6900000000000004,-0.0013431315033809862
75,north Moravia,67,30,6,5,0.6459999999999999,8819,0.099,0.28000000000000025,0.003202156021792048
76,north Moravia,31,32,15,7,0.512,8369,0.107,1.1499999999999995,-0.007293768499399383
77,north Moravia,8,35,15,4,0.535,8909,0.113,1.5499999999999998,0.0008751556767309569
