"code","loan_id","account_id","loan_amount","loan_duration","loan_payments","status","account_district_id","account_frequency","disp_id","client_id","has_disponent","client_district_id","gender","last_balance","monthly_diff","age_on_loan_request","age_on_loan_request_disc","region","no. of municipalities with inhabitants < 499","no. of municipalities with inhabitants 500-1999","no. of municipalities with inhabitants > 2000","no. of cities ","ratio of urban inhabitants","average salary","ratio enterpreneurs","unemploymant rate growth","crime rate growth"
1.0,5479.0,2486.0,24516.0,12.0,2043.0,1.0,1.0,"monthly issuance",3001.0,3001.0,"False",1.0,"Male",78670.8,7150.0,35.0,"30-39","Prague",0.0,0.0,1.0,1.0,1.0,12541.0,0.167,0.14,0.01114566294286997
52.0,5170.0,1071.0,253200.0,60.0,4220.0,1.0,68.0,"weekly issuance",1286.0,1286.0,"False",52.0,"Female",81150.6,9016.0,44.0,"40-49","east Bohemia",59.0,41.0,11.0,10.0,0.619,8363.0,0.108,0.9700000000000002,0.0016905015394354445
17.0,6721.0,8475.0,21072.0,24.0,878.0,1.0,4.0,"monthly issuance",10151.0,10459.0,"False",17.0,"Female",30867.0,7716.0,29.0,"21-29","south Bohemia",99.0,15.0,6.0,7.0,0.614,8114.0,0.119,0.2400000000000002,0.0024033917528557157
59.0,7259.0,11111.0,108144.0,36.0,3004.0,1.0,1.0,"monthly issuance",13349.0,13657.0,"True",59.0,"Female",21921.3,6292.0,31.0,"30-39","south Moravia",41.0,29.0,9.0,6.0,0.621,8444.0,0.106,0.22999999999999998,-0.0026637029144583957
31.0,5285.0,1603.0,78936.0,12.0,6578.0,1.0,1.0,"monthly issuance",1944.0,1944.0,"False",31.0,"Female",24601.0,4441.0,37.0,"30-39","west Bohemia",34.0,12.0,4.0,4.0,0.5920000000000001,8930.0,0.108,0.6800000000000002,0.0024165416171340595
11.0,5189.0,1166.0,149040.0,48.0,3105.0,1.0,11.0,"monthly issuance",1404.0,1404.0,"False",11.0,"Female",19048.1,-14529.0,25.0,"21-29","central Bohemia",35.0,36.0,9.0,7.0,0.365,9622.0,0.154,0.13999999999999996,7.139363010166982E-4
24.0,6650.0,8073.0,49320.0,12.0,4110.0,-1.0,24.0,"issuance after transaction",9665.0,9973.0,"False",24.0,"Female",15673.6,12830.0,48.0,"40-49","west Bohemia",25.0,21.0,8.0,8.0,0.8,8991.0,0.128,0.6199999999999999,6.117305449295695E-4
13.0,7226.0,10940.0,197748.0,36.0,5493.0,1.0,50.0,"monthly issuance",13139.0,13447.0,"True",13.0,"Female",43294.5,7215.0,24.0,"21-29","central Bohemia",61.0,22.0,2.0,2.0,0.413,8598.0,0.123,0.48999999999999977,0.005155690732738636
40.0,6087.0,5313.0,300660.0,60.0,5011.0,1.0,40.0,"monthly issuance",6417.0,6417.0,"False",40.0,"Male",33918.9,7349.0,44.0,"40-49","north Bohemia",9.0,16.0,9.0,8.0,0.853,9317.0,0.097,0.5800000000000001,-6.010084453394527E-4
75.0,7262.0,11135.0,182628.0,36.0,5073.0,1.0,75.0,"monthly issuance",13379.0,13687.0,"False",75.0,"Male",45660.9,9132.0,35.0,"30-39","north Moravia",67.0,30.0,6.0,5.0,0.6459999999999999,8819.0,0.099,0.28000000000000025,0.003202156021792048
52.0,5519.0,2694.0,91632.0,12.0,7636.0,1.0,7.0,"monthly issuance",3251.0,3251.0,"True",52.0,"Female",33061.9,5109.0,31.0,"30-39","east Bohemia",59.0,41.0,11.0,10.0,0.619,8363.0,0.108,0.9700000000000002,0.0016905015394354445
74.0,6577.0,7753.0,51696.0,24.0,2154.0,1.0,74.0,"monthly issuance",9285.0,9593.0,"False",74.0,"Female",38202.2,2938.0,26.0,"21-29","north Moravia",0.0,0.0,1.0,1.0,1.0,10673.0,0.1,0.6900000000000004,-0.0013431315033809862
64.0,6509.0,7445.0,55368.0,24.0,2307.0,1.0,64.0,"monthly issuance",8918.0,9226.0,"False",64.0,"Female",12414.4,1034.0,54.0,"50-59","south Moravia",29.0,41.0,12.0,10.0,0.747,9624.0,0.145,0.71,-0.0011111167484360652
39.0,6520.0,7485.0,91200.0,24.0,3800.0,1.0,39.0,"monthly issuance",8965.0,9273.0,"True",39.0,"Female",32715.3,-16279.0,39.0,"30-39","north Bohemia",17.0,4.0,5.0,4.0,0.899,10446.0,0.09,2.0600000000000005,-0.0017014888027023646
48.0,6699.0,8330.0,7656.0,24.0,319.0,1.0,48.0,"monthly issuance",9979.0,10287.0,"True",48.0,"Female",36353.1,5501.0,32.0,"30-39","east Bohemia",50.0,24.0,9.0,9.0,0.59,9060.0,0.124,0.6599999999999999,7.852574251155721E-4
38.0,6336.0,6555.0,212400.0,36.0,5900.0,1.0,38.0,"weekly issuance",7914.0,7914.0,"False",38.0,"Female",64221.1,4940.0,27.0,"21-29","north Bohemia",41.0,23.0,6.0,4.0,0.598,8965.0,0.104,1.1500000000000004,0.001968503937007874
62.0,7055.0,10079.0,167100.0,60.0,2785.0,1.0,62.0,"monthly issuance",12088.0,12396.0,"True",62.0,"Female",39310.2,3573.0,24.0,"21-29","south Moravia",22.0,41.0,15.0,5.0,0.40700000000000003,8544.0,0.109,0.5700000000000001,0.0012835648783702158
44.0,6103.0,5385.0,149340.0,60.0,2489.0,1.0,44.0,"weekly issuance",6499.0,6499.0,"False",44.0,"Male",23568.3,-8021.0,31.0,"30-39","east Bohemia",77.0,26.0,9.0,7.0,0.53,8254.0,0.097,0.9699999999999998,0.0015055962729390376
3.0,6202.0,5891.0,65184.0,12.0,5432.0,1.0,54.0,"monthly issuance",7127.0,7127.0,"False",3.0,"Male",67995.4,-30233.0,37.0,"30-39","central Bohemia",55.0,26.0,5.0,5.0,0.41700000000000004,8980.0,0.111,0.26,-1.4621437686091024E-4
39.0,7066.0,10131.0,215388.0,36.0,5983.0,-1.0,1.0,"monthly issuance",12156.0,12464.0,"False",39.0,"Male",30662.8,5110.0,34.0,"30-39","north Bohemia",17.0,4.0,5.0,4.0,0.899,10446.0,0.09,2.0600000000000005,-0.0017014888027023646
77.0,6696.0,8321.0,89040.0,60.0,1484.0,1.0,77.0,"monthly issuance",9967.0,10275.0,"True",77.0,"Female",29305.8,6587.0,24.0,"21-29","north Moravia",8.0,35.0,15.0,4.0,0.535,8909.0,0.113,1.5499999999999998,8.751556767309569E-4
72.0,6072.0,5256.0,193968.0,36.0,5388.0,1.0,72.0,"issuance after transaction",6349.0,6349.0,"False",72.0,"Male",80780.0,11540.0,21.0,"21-29","north Moravia",32.0,50.0,11.0,4.0,0.626,8994.0,0.11,0.9900000000000002,-0.0020519896339144354
16.0,5130.0,813.0,24312.0,12.0,2026.0,1.0,16.0,"monthly issuance",976.0,976.0,"False",16.0,"Female",28461.9,-11066.0,38.0,"30-39","south Bohemia",74.0,21.0,11.0,8.0,0.569,8427.0,0.107,0.41999999999999993,4.1519839030777913E-4
10.0,5568.0,2933.0,272520.0,60.0,4542.0,1.0,10.0,"monthly issuance",3542.0,3542.0,"True",10.0,"Male",30009.9,8098.0,55.0,"50-59","central Bohemia",55.0,29.0,7.0,5.0,0.467,10124.0,0.141,-0.020000000000000018,0.005494982841753182
1.0,6678.0,8173.0,80340.0,12.0,6695.0,1.0,11.0,"monthly issuance",9787.0,10095.0,"True",1.0,"Female",89342.6,-33947.0,18.0,"0-19","Prague",0.0,0.0,1.0,1.0,1.0,12541.0,0.167,0.14,0.01114566294286997
21.0,6998.0,9833.0,97632.0,12.0,8136.0,1.0,20.0,"monthly issuance",11794.0,12102.0,"False",21.0,"Female",41330.1,-39656.0,26.0,"21-29","south Bohemia",87.0,16.0,8.0,7.0,0.67,9104.0,0.123,0.5599999999999998,5.32187678403824E-4
23.0,6580.0,7769.0,196080.0,48.0,4085.0,1.0,23.0,"monthly issuance",9303.0,9611.0,"False",23.0,"Male",86857.4,10857.0,36.0,"30-39","west Bohemia",21.0,11.0,7.0,9.0,0.855,8624.0,0.102,0.8700000000000001,0.003649092302588682
4.0,6316.0,6473.0,76908.0,12.0,6409.0,-1.0,12.0,"monthly issuance",7815.0,7815.0,"False",4.0,"Female",14888.6,930.0,48.0,"40-49","central Bohemia",63.0,29.0,8.0,6.0,0.674,9753.0,0.109,0.41000000000000014,0.004323083799777174
31.0,6512.0,7454.0,63312.0,48.0,1319.0,1.0,4.0,"monthly issuance",8928.0,9236.0,"False",31.0,"Female",28553.5,3941.0,38.0,"30-39","west Bohemia",34.0,12.0,4.0,4.0,0.5920000000000001,8930.0,0.108,0.6800000000000002,0.0024165416171340595
41.0,6407.0,6930.0,25944.0,24.0,1081.0,1.0,41.0,"monthly issuance",8366.0,8366.0,"False",41.0,"Female",69398.9,7711.0,34.0,"30-39","north Bohemia",8.0,8.0,6.0,3.0,0.856,9832.0,0.114,1.1600000000000006,-0.008209018120522545
66.0,5002.0,173.0,104808.0,12.0,8734.0,1.0,66.0,"monthly issuance",210.0,210.0,"True",66.0,"Male",28015.4,7538.0,54.0,"50-59","south Moravia",151.0,41.0,5.0,5.0,0.483,8512.0,0.102,0.6100000000000003,-0.0011443829868395957
31.0,6647.0,8051.0,208320.0,48.0,4340.0,1.0,1.0,"weekly issuance",9637.0,9945.0,"True",31.0,"Female",44183.1,-23278.0,26.0,"21-29","west Bohemia",34.0,12.0,4.0,4.0,0.5920000000000001,8930.0,0.108,0.6800000000000002,0.0024165416171340595
66.0,7137.0,10439.0,151560.0,24.0,6315.0,1.0,66.0,"monthly issuance",12535.0,12843.0,"False",66.0,"Male",21323.2,-30689.0,41.0,"40-49","south Moravia",151.0,41.0,5.0,5.0,0.483,8512.0,0.102,0.6100000000000003,-0.0011443829868395957
11.0,6903.0,9337.0,52128.0,24.0,2172.0,1.0,30.0,"monthly issuance",11189.0,11497.0,"False",11.0,"Female",58844.8,6538.0,35.0,"30-39","central Bohemia",35.0,36.0,9.0,7.0,0.365,9622.0,0.154,0.13999999999999996,7.139363010166982E-4
57.0,5918.0,4576.0,300204.0,36.0,8339.0,1.0,27.0,"monthly issuance",5517.0,5517.0,"False",57.0,"Male",33947.4,2827.0,30.0,"30-39","south Moravia",21.0,37.0,23.0,8.0,0.48,8720.0,0.116,0.77,-4.8161823727725157E-4
27.0,6642.0,8027.0,77640.0,12.0,6470.0,1.0,44.0,"weekly issuance",9607.0,9915.0,"False",27.0,"Male",30825.8,-34251.0,27.0,"21-29","west Bohemia",71.0,19.0,10.0,7.0,0.43799999999999994,8561.0,0.11,0.64,0.0014562096941959641
15.0,6210.0,5927.0,87216.0,48.0,1817.0,-1.0,15.0,"monthly issuance",7166.0,7166.0,"False",15.0,"Male",21705.9,-7026.0,30.0,"30-39","south Bohemia",22.0,16.0,8.0,5.0,0.519,9045.0,0.124,0.4700000000000002,5.782706306551466E-4
38.0,6279.0,6273.0,87360.0,24.0,3640.0,1.0,38.0,"monthly issuance",7576.0,7576.0,"False",38.0,"Male",29057.9,2641.0,32.0,"30-39","north Bohemia",41.0,23.0,6.0,4.0,0.598,8965.0,0.104,1.1500000000000004,0.001968503937007874
46.0,7249.0,11065.0,69360.0,48.0,1445.0,1.0,11.0,"monthly issuance",13295.0,13603.0,"False",46.0,"Male",38665.0,2577.0,53.0,"50-59","east Bohemia",48.0,20.0,10.0,10.0,0.735,8369.0,0.117,0.52,-0.0020938877995546053
1.0,6736.0,8558.0,288360.0,60.0,4806.0,1.0,1.0,"issuance after transaction",10247.0,10555.0,"False",1.0,"Male",43450.3,10862.0,58.0,"50-59","Prague",0.0,0.0,1.0,1.0,1.0,12541.0,0.167,0.14,0.01114566294286997
5.0,6112.0,5442.0,174744.0,24.0,7281.0,-1.0,34.0,"monthly issuance",6567.0,6567.0,"False",5.0,"Female",6930.8,10912.0,16.0,"0-19","central Bohemia",65.0,30.0,5.0,6.0,0.514,9307.0,0.118,0.5799999999999996,0.004434404283801874
68.0,5319.0,1811.0,239460.0,60.0,3991.0,1.0,40.0,"monthly issuance",2195.0,2195.0,"False",68.0,"Female",36240.6,-17711.0,52.0,"50-59","north Moravia",15.0,40.0,20.0,6.0,0.5720000000000001,9893.0,0.096,0.6299999999999999,0.00115360413899182
33.0,6596.0,7844.0,91584.0,24.0,3816.0,1.0,1.0,"monthly issuance",9394.0,9702.0,"False",33.0,"Female",49842.9,-29379.0,43.0,"40-49","north Bohemia",24.0,17.0,10.0,11.0,0.847,8705.0,0.116,1.8600000000000003,0.001562301441951905
58.0,5837.0,4260.0,244560.0,60.0,4076.0,1.0,56.0,"monthly issuance",5134.0,5134.0,"False",58.0,"Female",21326.1,-16747.0,27.0,"21-29","south Moravia",98.0,16.0,7.0,4.0,0.636,8757.0,0.096,0.5700000000000003,0.002372577040049833
63.0,5657.0,3354.0,4980.0,12.0,415.0,1.0,63.0,"monthly issuance",4056.0,4056.0,"False",63.0,"Female",22500.3,4779.0,42.0,"40-49","south Moravia",38.0,36.0,6.0,5.0,0.505,8288.0,0.11,0.7299999999999995,-0.0011790135586559245
11.0,5533.0,2762.0,111384.0,24.0,4641.0,1.0,19.0,"monthly issuance",3335.0,3335.0,"False",11.0,"Male",52318.9,9941.0,27.0,"21-29","central Bohemia",35.0,36.0,9.0,7.0,0.365,9622.0,0.154,0.13999999999999996,7.139363010166982E-4
56.0,6232.0,6051.0,276660.0,36.0,7685.0,-1.0,56.0,"monthly issuance",7311.0,7311.0,"False",56.0,"Male",19783.2,1798.0,45.0,"40-49","south Moravia",11.0,42.0,15.0,8.0,0.46,8772.0,0.126,0.29000000000000004,0.002439709481963003
32.0,6888.0,9265.0,39576.0,12.0,3298.0,1.0,1.0,"monthly issuance",11101.0,11409.0,"False",32.0,"Female",23901.1,10706.0,14.0,"0-19","north Bohemia",32.0,19.0,9.0,10.0,0.81,9272.0,0.118,0.4200000000000004,0.0015705610234346742
77.0,6066.0,5228.0,173808.0,24.0,7242.0,1.0,77.0,"issuance after transaction",6317.0,6317.0,"True",77.0,"Female",94431.9,-46238.0,37.0,"30-39","north Moravia",8.0,35.0,15.0,4.0,0.535,8909.0,0.113,1.5499999999999998,8.751556767309569E-4
11.0,5549.0,2824.0,50460.0,60.0,841.0,1.0,11.0,"monthly issuance",3414.0,3414.0,"False",11.0,"Female",41531.0,8663.0,47.0,"40-49","central Bohemia",35.0,36.0,9.0,7.0,0.365,9622.0,0.154,0.13999999999999996,7.139363010166982E-4
60.0,5060.0,426.0,252060.0,60.0,4201.0,-1.0,1.0,"monthly issuance",512.0,512.0,"False",60.0,"Female",70096.5,14001.0,29.0,"21-29","south Moravia",49.0,41.0,5.0,4.0,0.519,8441.0,0.115,1.0300000000000002,0.0033712028777238504
50.0,6004.0,4937.0,143904.0,24.0,5996.0,1.0,12.0,"monthly issuance",5965.0,5965.0,"False",50.0,"Male",38336.2,5536.0,43.0,"40-49","east Bohemia",75.0,33.0,5.0,6.0,0.52,8187.0,0.094,0.6200000000000001,1.0720307185529534E-4
54.0,5126.0,790.0,208128.0,48.0,4336.0,-1.0,54.0,"monthly issuance",946.0,946.0,"False",54.0,"Male",81474.6,5431.0,43.0,"40-49","south Moravia",0.0,0.0,1.0,1.0,1.0,9897.0,0.14,0.3599999999999999,-6.450447661067678E-5
1.0,7220.0,10911.0,131292.0,36.0,3647.0,1.0,1.0,"weekly issuance",13104.0,13412.0,"False",1.0,"Male",31361.3,-16763.0,40.0,"40-49","Prague",0.0,0.0,1.0,1.0,1.0,12541.0,0.167,0.14,0.01114566294286997
45.0,6668.0,8129.0,74736.0,36.0,2076.0,1.0,45.0,"monthly issuance",9735.0,10043.0,"False",45.0,"Male",33243.7,6362.0,29.0,"21-29","east Bohemia",85.0,19.0,7.0,5.0,0.535,8390.0,0.132,0.6100000000000003,5.390351271224508E-4
67.0,5395.0,2176.0,299088.0,36.0,8308.0,-1.0,67.0,"monthly issuance",2635.0,2635.0,"False",67.0,"Female",19448.5,6720.0,28.0,"21-29","north Moravia",38.0,25.0,8.0,6.0,0.631,8110.0,0.109,0.7800000000000002,-0.0015558111905255812
58.0,6836.0,9093.0,189300.0,60.0,3155.0,1.0,47.0,"monthly issuance",10887.0,11195.0,"False",58.0,"Male",24552.0,4278.0,41.0,"40-49","south Moravia",98.0,16.0,7.0,4.0,0.636,8757.0,0.096,0.5700000000000003,0.002372577040049833
55.0,6064.0,5215.0,14628.0,12.0,1219.0,1.0,55.0,"monthly issuance",6301.0,6301.0,"False",55.0,"Female",34917.4,6788.0,45.0,"40-49","south Moravia",49.0,70.0,18.0,9.0,0.33899999999999997,8743.0,0.111,0.5500000000000003,0.001496414971790986
1.0,6919.0,9403.0,120888.0,36.0,3358.0,1.0,1.0,"weekly issuance",11266.0,11574.0,"False",1.0,"Female",52014.4,5336.0,50.0,"50-59","Prague",0.0,0.0,1.0,1.0,1.0,12541.0,0.167,0.14,0.01114566294286997
10.0,6841.0,9104.0,172080.0,48.0,3585.0,1.0,10.0,"monthly issuance",10900.0,11208.0,"False",10.0,"Female",58209.4,8315.0,37.0,"30-39","central Bohemia",55.0,29.0,7.0,5.0,0.467,10124.0,0.141,-0.020000000000000018,0.005494982841753182
1.0,6038.0,5120.0,323472.0,48.0,6739.0,1.0,1.0,"monthly issuance",6178.0,6178.0,"False",1.0,"Female",72386.4,6015.0,54.0,"50-59","Prague",0.0,0.0,1.0,1.0,1.0,12541.0,0.167,0.14,0.01114566294286997
23.0,6729.0,8519.0,74688.0,12.0,6224.0,1.0,23.0,"monthly issuance",10202.0,10510.0,"True",23.0,"Female",28933.3,-27064.0,50.0,"50-59","west Bohemia",21.0,11.0,7.0,9.0,0.855,8624.0,0.102,0.8700000000000001,0.003649092302588682
72.0,7198.0,10788.0,45768.0,12.0,3814.0,1.0,67.0,"weekly issuance",12952.0,13260.0,"False",72.0,"Female",54427.5,6047.0,17.0,"0-19","north Moravia",32.0,50.0,11.0,4.0,0.626,8994.0,0.11,0.9900000000000002,-0.0020519896339144354
31.0,6686.0,8260.0,224604.0,36.0,6239.0,1.0,31.0,"monthly issuance",9890.0,10198.0,"True",31.0,"Male",40287.4,-38368.0,18.0,"0-19","west Bohemia",34.0,12.0,4.0,4.0,0.5920000000000001,8930.0,0.108,0.6800000000000002,0.0024165416171340595
66.0,5836.0,4259.0,79632.0,24.0,3318.0,1.0,66.0,"monthly issuance",5133.0,5133.0,"False",66.0,"Female",99262.5,-28668.0,35.0,"30-39","south Moravia",151.0,41.0,5.0,5.0,0.483,8512.0,0.102,0.6100000000000003,-0.0011443829868395957
55.0,7061.0,10105.0,121896.0,24.0,5079.0,1.0,55.0,"monthly issuance",12124.0,12432.0,"False",55.0,"Male",41917.2,2619.0,29.0,"21-29","south Moravia",49.0,70.0,18.0,9.0,0.33899999999999997,8743.0,0.111,0.5500000000000003,0.001496414971790986
49.0,5595.0,3050.0,82896.0,12.0,6908.0,1.0,60.0,"monthly issuance",3687.0,3687.0,"True",49.0,"Male",64300.6,-32945.0,23.0,"21-29","east Bohemia",31.0,28.0,6.0,9.0,0.608,8208.0,0.155,0.3699999999999999,0.006117460527185043
38.0,5723.0,3674.0,23628.0,12.0,1969.0,1.0,38.0,"monthly issuance",4428.0,4428.0,"False",38.0,"Male",64096.3,9896.0,41.0,"40-49","north Bohemia",41.0,23.0,6.0,4.0,0.598,8965.0,0.104,1.1500000000000004,0.001968503937007874
1.0,6120.0,5481.0,209184.0,48.0,4358.0,1.0,52.0,"monthly issuance",6616.0,6616.0,"False",1.0,"Male",44254.7,-35828.0,41.0,"40-49","Prague",0.0,0.0,1.0,1.0,1.0,12541.0,0.167,0.14,0.01114566294286997
70.0,6895.0,9307.0,41904.0,12.0,3492.0,1.0,68.0,"monthly issuance",11153.0,11461.0,"False",70.0,"Male",39204.7,7501.0,20.0,"21-29","north Moravia",0.0,2.0,13.0,7.0,0.899,10177.0,0.081,1.12,8.059231850084271E-4
1.0,5882.0,4427.0,87816.0,12.0,7318.0,1.0,32.0,"monthly issuance",5337.0,5337.0,"True",1.0,"Male",15665.6,4420.0,33.0,"30-39","Prague",0.0,0.0,1.0,1.0,1.0,12541.0,0.167,0.14,0.01114566294286997
54.0,5754.0,3834.0,23052.0,12.0,1921.0,1.0,54.0,"monthly issuance",4620.0,4620.0,"True",54.0,"Female",28531.7,6644.0,54.0,"50-59","south Moravia",0.0,0.0,1.0,1.0,1.0,9897.0,0.14,0.3599999999999999,-6.450447661067678E-5
60.0,6594.0,7824.0,189696.0,24.0,7904.0,-1.0,60.0,"monthly issuance",9367.0,9675.0,"False",60.0,"Female",22500.0,5625.0,25.0,"21-29","south Moravia",49.0,41.0,5.0,4.0,0.519,8441.0,0.115,1.0300000000000002,0.0033712028777238504
74.0,6738.0,8566.0,230220.0,36.0,6395.0,-1.0,74.0,"monthly issuance",10258.0,10566.0,"False",74.0,"Female",6325.5,9114.0,52.0,"50-59","north Moravia",0.0,0.0,1.0,1.0,1.0,10673.0,0.1,0.6900000000000004,-0.0013431315033809862
55.0,6624.0,7965.0,71460.0,12.0,5955.0,1.0,55.0,"monthly issuance",9536.0,9844.0,"True",55.0,"Male",53022.0,9617.0,49.0,"40-49","south Moravia",49.0,70.0,18.0,9.0,0.33899999999999997,8743.0,0.111,0.5500000000000003,0.001496414971790986
50.0,6216.0,5952.0,141240.0,24.0,5885.0,1.0,50.0,"monthly issuance",7195.0,7195.0,"False",50.0,"Male",45871.6,-28136.0,32.0,"30-39","east Bohemia",75.0,33.0,5.0,6.0,0.52,8187.0,0.094,0.6200000000000001,1.0720307185529534E-4
