status,loan_id,account_id,loan_amount,loan_duration,loan_payments,account_district_id,disp_id,client_id,has_disponent,client_district_id,last_balance,mean_balance,min_balance,monthly_diff,code,region,no. of municipalities with inhabitants < 499,no. of municipalities with inhabitants 500-1999,no. of municipalities with inhabitants > 2000,no. of cities ,ratio of urban inhabitants,average salary,ratio enterpreneurs,unemploymant rate growth,crime rate growth,age_on_loan_request,age_on_loan_request_disc,account_frequency_issuance after transaction,account_frequency_monthly issuance,account_frequency_weekly issuance,gender_Female,gender_Male
1,6356,6701,95400,36,2650,49,8091,8091,False,5,27667.0,41562.32340425532,200.0,3074,5,1.0,65,30,5,6,0.514,9307,0.118,0.5799999999999996,0.0044344042838018,23,1.0,0.0,0.0,1.0,0.0,1.0
1,5523,2705,93888,36,2608,63,3264,3264,False,63,34716.3,37510.49473684211,600.0,-8705,63,6.0,38,36,6,5,0.505,8288,0.11,0.7299999999999995,-0.0011790135586559,43,3.0,1.0,0.0,0.0,1.0,0.0
1,6456,7123,47016,12,3918,64,8598,8598,False,46,58773.2,60382.08571428573,200.0,14637,46,2.0,48,20,10,10,0.735,8369,0.117,0.52,-0.0020938877995546,36,2.0,1.0,0.0,0.0,1.0,0.0
1,7104,10320,259740,60,4329,68,12387,12695,False,68,67219.5,45198.15294117647,800.0,-12643,68,4.0,15,40,20,6,0.5720000000000001,9893,0.096,0.6299999999999999,0.0011536041389918,15,0.0,0.0,1.0,0.0,0.0,1.0
1,6820,9034,38148,12,3179,1,10818,11126,False,1,47725.8,37462.093103448286,900.0,-11742,1,0.0,0,0,1,1,1.0,12541,0.167,0.14,0.0111456629428699,29,1.0,0.0,1.0,0.0,1.0,0.0
1,6876,9236,86616,12,7218,11,11064,11372,False,11,37253.1,25714.046666666665,800.0,9313,11,1.0,35,36,9,7,0.365,9622,0.154,0.1399999999999999,0.0007139363010166,32,2.0,0.0,1.0,0.0,0.0,1.0
-1,7097,10266,75624,24,3151,54,12317,12625,False,54,41954.8,50009.90869565218,400.0,5993,54,6.0,0,0,1,1,1.0,9897,0.14,0.3599999999999999,-6.450447661067678e-05,35,2.0,0.0,1.0,0.0,0.0,1.0
1,4959,2,80952,24,3373,1,2,2,True,1,27855.2,32590.624074074065,1100.0,-14402,1,0.0,0,0,1,1,1.0,12541,0.167,0.14,0.0111456629428699,49,3.0,0.0,1.0,0.0,0.0,1.0
1,6499,7401,80952,24,3373,1,8865,9173,True,1,28763.7,33312.53888888889,1100.0,-14319,1,0.0,0,0,1,1,1.0,12541,0.167,0.14,0.0111456629428699,49,3.0,0.0,1.0,0.0,0.0,1.0
1,5479,2486,24516,12,2043,1,3001,3001,False,1,78670.8,55582.22602739726,200.0,7150,1,0.0,0,0,1,1,1.0,12541,0.167,0.14,0.0111456629428699,35,2.0,0.0,1.0,0.0,0.0,1.0
1,5170,1071,253200,60,4220,68,1286,1286,False,52,81150.6,47302.54634146342,800.0,9016,52,2.0,59,41,11,10,0.619,8363,0.108,0.9700000000000002,0.0016905015394354,44,3.0,0.0,0.0,1.0,1.0,0.0
1,6721,8475,21072,24,878,4,10151,10459,False,17,30867.0,21575.68666666666,1100.0,7716,17,5.0,99,15,6,7,0.614,8114,0.119,0.2400000000000002,0.0024033917528557,29,1.0,0.0,1.0,0.0,1.0,0.0
1,7259,11111,108144,36,3004,1,13349,13657,True,59,21921.3,54652.89818181817,900.0,6292,59,6.0,41,29,9,6,0.621,8444,0.106,0.2299999999999999,-0.0026637029144583,31,2.0,0.0,1.0,0.0,1.0,0.0
1,5285,1603,78936,12,6578,1,1944,1944,False,31,24601.0,25900.31960784314,900.0,4441,31,7.0,34,12,4,4,0.5920000000000001,8930,0.108,0.6800000000000002,0.002416541617134,37,2.0,0.0,1.0,0.0,1.0,0.0
1,5189,1166,149040,48,3105,11,1404,1404,False,11,19048.1,36845.58888888889,200.0,-14529,11,1.0,35,36,9,7,0.365,9622,0.154,0.1399999999999999,0.0007139363010166,25,1.0,0.0,1.0,0.0,1.0,0.0
-1,6650,8073,49320,12,4110,24,9665,9973,False,24,15673.6,46576.27755102041,900.0,12830,24,7.0,25,21,8,8,0.8,8991,0.128,0.6199999999999999,0.0006117305449295,48,3.0,1.0,0.0,0.0,1.0,0.0
1,7226,10940,197748,36,5493,50,13139,13447,True,13,43294.5,44735.43125,300.0,7215,13,1.0,61,22,2,2,0.413,8598,0.123,0.4899999999999997,0.0051556907327386,24,1.0,0.0,1.0,0.0,1.0,0.0
1,6087,5313,300660,60,5011,40,6417,6417,False,40,33918.9,45854.89090909091,800.0,7349,40,3.0,9,16,9,8,0.853,9317,0.097,0.5800000000000001,-0.0006010084453394,44,3.0,0.0,1.0,0.0,0.0,1.0
1,7262,11135,182628,36,5073,75,13379,13687,False,75,45660.9,33229.107692307705,500.0,9132,75,4.0,67,30,6,5,0.6459999999999999,8819,0.099,0.2800000000000002,0.003202156021792,35,2.0,0.0,1.0,0.0,0.0,1.0
1,5519,2694,91632,12,7636,7,3251,3251,True,52,33061.9,40976.94285714286,700.0,5109,52,2.0,59,41,11,10,0.619,8363,0.108,0.9700000000000002,0.0016905015394354,31,2.0,0.0,1.0,0.0,1.0,0.0
1,6577,7753,51696,24,2154,74,9285,9593,False,74,38202.2,58226.50490196079,600.0,2938,74,4.0,0,0,1,1,1.0,10673,0.1,0.6900000000000004,-0.0013431315033809,26,1.0,0.0,1.0,0.0,1.0,0.0
1,6509,7445,55368,24,2307,64,8918,9226,False,64,12414.4,46061.31938775511,200.0,1034,64,6.0,29,41,12,10,0.747,9624,0.145,0.71,-0.001111116748436,54,4.0,0.0,1.0,0.0,1.0,0.0
1,6520,7485,91200,24,3800,39,8965,9273,True,39,32715.3,32558.533333333333,700.0,-16279,39,3.0,17,4,5,4,0.899,10446,0.09,2.0600000000000005,-0.0017014888027023,39,2.0,0.0,1.0,0.0,1.0,0.0
1,6699,8330,7656,24,319,48,9979,10287,True,48,36353.1,46444.63950617283,600.0,5501,48,2.0,50,24,9,9,0.59,9060,0.124,0.6599999999999999,0.0007852574251155,32,2.0,0.0,1.0,0.0,1.0,0.0
1,6336,6555,212400,36,5900,38,7914,7914,False,38,64221.1,51034.361971830986,300.0,4940,38,3.0,41,23,6,4,0.598,8965,0.104,1.1500000000000004,0.0019685039370078,27,1.0,0.0,0.0,1.0,1.0,0.0
1,7055,10079,167100,60,2785,62,12088,12396,True,62,39310.2,63707.62658227849,1100.0,3573,62,6.0,22,41,15,5,0.407,8544,0.109,0.5700000000000001,0.0012835648783702,24,1.0,0.0,1.0,0.0,1.0,0.0
1,6103,5385,149340,60,2489,44,6499,6499,False,44,23568.3,29069.11607142857,500.0,-8021,44,2.0,77,26,9,7,0.53,8254,0.097,0.9699999999999998,0.001505596272939,31,2.0,0.0,0.0,1.0,0.0,1.0
1,6202,5891,65184,12,5432,54,7127,7127,False,3,67995.4,47426.55000000001,900.0,-30233,3,1.0,55,26,5,5,0.417,8980,0.111,0.26,-0.0001462143768609,37,2.0,0.0,1.0,0.0,0.0,1.0
-1,7066,10131,215388,36,5983,1,12156,12464,False,39,30662.8,32702.726666666666,1000.0,5110,39,3.0,17,4,5,4,0.899,10446,0.09,2.0600000000000005,-0.0017014888027023,34,2.0,0.0,1.0,0.0,0.0,1.0
1,6696,8321,89040,60,1484,77,9967,10275,True,77,29305.8,30045.399999999998,800.0,6587,77,4.0,8,35,15,4,0.535,8909,0.113,1.5499999999999998,0.0008751556767309,24,1.0,0.0,1.0,0.0,1.0,0.0
1,6072,5256,193968,36,5388,72,6349,6349,False,72,80780.0,63579.21724137931,800.0,11540,72,4.0,32,50,11,4,0.626,8994,0.11,0.9900000000000002,-0.0020519896339144,21,1.0,1.0,0.0,0.0,0.0,1.0
1,5130,813,24312,12,2026,16,976,976,False,16,28461.9,29380.839743589742,1100.0,-11066,16,5.0,74,21,11,8,0.569,8427,0.107,0.4199999999999999,0.0004151983903077,38,2.0,0.0,1.0,0.0,1.0,0.0
1,5568,2933,272520,60,4542,10,3542,3542,True,10,30009.9,44602.64166666666,1100.0,8098,10,1.0,55,29,7,5,0.467,10124,0.141,-0.02,0.0054949828417531,55,4.0,0.0,1.0,0.0,0.0,1.0
1,6678,8173,80340,12,6695,11,9787,10095,True,1,89342.6,61531.5903846154,1100.0,-33947,1,0.0,0,0,1,1,1.0,12541,0.167,0.14,0.0111456629428699,18,0.0,0.0,1.0,0.0,1.0,0.0
1,6998,9833,97632,12,8136,20,11794,12102,False,21,41330.1,53379.12769230769,1100.0,-39656,21,5.0,87,16,8,7,0.67,9104,0.123,0.5599999999999998,0.0005321876784038,26,1.0,0.0,1.0,0.0,1.0,0.0
1,6580,7769,196080,48,4085,23,9303,9611,False,23,86857.4,49143.9659574468,900.0,10857,23,7.0,21,11,7,9,0.855,8624,0.102,0.8700000000000001,0.0036490923025886,36,2.0,0.0,1.0,0.0,0.0,1.0
-1,6316,6473,76908,12,6409,12,7815,7815,False,4,14888.6,52890.4039215686,1100.0,930,4,1.0,63,29,8,6,0.674,9753,0.109,0.4100000000000001,0.0043230837997771,48,3.0,0.0,1.0,0.0,1.0,0.0
1,6512,7454,63312,48,1319,4,8928,9236,False,31,28553.5,22551.779268292685,500.0,3941,31,7.0,34,12,4,4,0.5920000000000001,8930,0.108,0.6800000000000002,0.002416541617134,38,2.0,0.0,1.0,0.0,1.0,0.0
1,6407,6930,25944,24,1081,41,8366,8366,False,41,69398.9,56927.45405405405,600.0,7711,41,3.0,8,8,6,3,0.856,9832,0.114,1.1600000000000006,-0.0082090181205225,34,2.0,0.0,1.0,0.0,1.0,0.0
1,5002,173,104808,12,8734,66,210,210,True,66,28015.4,38709.82999999999,500.0,7538,66,6.0,151,41,5,5,0.483,8512,0.102,0.6100000000000003,-0.0011443829868395,54,4.0,0.0,1.0,0.0,0.0,1.0
1,6647,8051,208320,48,4340,1,9637,9945,True,31,44183.1,43944.88941176472,200.0,-23278,31,7.0,34,12,4,4,0.5920000000000001,8930,0.108,0.6800000000000002,0.002416541617134,26,1.0,0.0,0.0,1.0,1.0,0.0
1,7137,10439,151560,24,6315,66,12535,12843,False,66,21323.2,53976.29285714286,300.0,-30689,66,6.0,151,41,5,5,0.483,8512,0.102,0.6100000000000003,-0.0011443829868395,41,3.0,0.0,1.0,0.0,0.0,1.0
1,6903,9337,52128,24,2172,30,11189,11497,False,11,58844.8,33459.68028169014,144.2,6538,11,1.0,35,36,9,7,0.365,9622,0.154,0.1399999999999999,0.0007139363010166,35,2.0,0.0,1.0,0.0,1.0,0.0
1,5918,4576,300204,36,8339,27,5517,5517,False,57,33947.4,34084.46056338029,300.0,2827,57,6.0,21,37,23,8,0.48,8720,0.116,0.77,-0.0004816182372772,30,2.0,0.0,1.0,0.0,0.0,1.0
1,6642,8027,77640,12,6470,44,9607,9915,False,27,30825.8,55570.30499999998,700.0,-34251,27,7.0,71,19,10,7,0.4379999999999999,8561,0.11,0.64,0.0014562096941959,27,1.0,0.0,0.0,1.0,0.0,1.0
-1,6210,5927,87216,48,1817,15,7166,7166,False,15,21705.9,28362.24848484848,200.0,-7026,15,5.0,22,16,8,5,0.519,9045,0.124,0.4700000000000002,0.0005782706306551,30,2.0,0.0,1.0,0.0,0.0,1.0
1,6279,6273,87360,24,3640,38,7576,7576,False,38,29057.9,36783.95,200.0,2641,38,3.0,41,23,6,4,0.598,8965,0.104,1.1500000000000004,0.0019685039370078,32,2.0,0.0,1.0,0.0,0.0,1.0
1,7249,11065,69360,48,1445,11,13295,13603,False,46,38665.0,33857.10641025641,1100.0,2577,46,2.0,48,20,10,10,0.735,8369,0.117,0.52,-0.0020938877995546,53,4.0,0.0,1.0,0.0,0.0,1.0
1,6736,8558,288360,60,4806,1,10247,10555,False,1,43450.3,33211.759999999995,800.0,10862,1,0.0,0,0,1,1,1.0,12541,0.167,0.14,0.0111456629428699,58,4.0,1.0,0.0,0.0,0.0,1.0
-1,6112,5442,174744,24,7281,34,6567,6567,False,5,6930.8,26252.81440677965,-1369.2,10912,5,1.0,65,30,5,6,0.514,9307,0.118,0.5799999999999996,0.0044344042838018,16,0.0,0.0,1.0,0.0,1.0,0.0
1,5319,1811,239460,60,3991,40,2195,2195,False,68,36240.6,40061.58043478262,300.0,-17711,68,4.0,15,40,20,6,0.5720000000000001,9893,0.096,0.6299999999999999,0.0011536041389918,52,4.0,0.0,1.0,0.0,1.0,0.0
1,6596,7844,91584,24,3816,1,9394,9702,False,33,49842.9,50765.41612903224,1000.0,-29379,33,3.0,24,17,10,11,0.847,8705,0.116,1.8600000000000003,0.0015623014419519,43,3.0,0.0,1.0,0.0,1.0,0.0
1,5837,4260,244560,60,4076,56,5134,5134,False,58,21326.1,38426.728571428575,1000.0,-16747,58,6.0,98,16,7,4,0.636,8757,0.096,0.5700000000000003,0.0023725770400498,27,1.0,0.0,1.0,0.0,1.0,0.0
1,5657,3354,4980,12,415,63,4056,4056,False,63,22500.3,30533.37173913043,800.0,4779,63,6.0,38,36,6,5,0.505,8288,0.11,0.7299999999999995,-0.0011790135586559,42,3.0,0.0,1.0,0.0,1.0,0.0
1,5533,2762,111384,24,4641,19,3335,3335,False,11,52318.9,65097.22434210526,500.0,9941,11,1.0,35,36,9,7,0.365,9622,0.154,0.1399999999999999,0.0007139363010166,27,1.0,0.0,1.0,0.0,0.0,1.0
-1,6232,6051,276660,36,7685,56,7311,7311,False,56,19783.2,19256.89482758621,500.0,1798,56,6.0,11,42,15,8,0.46,8772,0.126,0.29,0.002439709481963,45,3.0,0.0,1.0,0.0,0.0,1.0
1,6888,9265,39576,12,3298,1,11101,11409,False,32,23901.1,48944.82782608695,300.0,10706,32,3.0,32,19,9,10,0.81,9272,0.118,0.4200000000000004,0.0015705610234346,14,0.0,0.0,1.0,0.0,1.0,0.0
1,6066,5228,173808,24,7242,77,6317,6317,True,77,94431.9,61218.65866666667,1000.0,-46238,77,4.0,8,35,15,4,0.535,8909,0.113,1.5499999999999998,0.0008751556767309,37,2.0,1.0,0.0,0.0,1.0,0.0
1,5549,2824,50460,60,841,11,3414,3414,False,11,41531.0,37570.62790697674,800.0,8663,11,1.0,35,36,9,7,0.365,9622,0.154,0.1399999999999999,0.0007139363010166,47,3.0,0.0,1.0,0.0,1.0,0.0
-1,5060,426,252060,60,4201,1,512,512,False,60,70096.5,57340.50819672131,900.0,14001,60,6.0,49,41,5,4,0.519,8441,0.115,1.0300000000000002,0.0033712028777238,29,1.0,0.0,1.0,0.0,1.0,0.0
1,6004,4937,143904,24,5996,12,5965,5965,False,50,38336.2,49727.45611510792,700.0,5536,50,2.0,75,33,5,6,0.52,8187,0.094,0.6200000000000001,0.0001072030718552,43,3.0,0.0,1.0,0.0,0.0,1.0
-1,5126,790,208128,48,4336,54,946,946,False,54,81474.6,36369.975,-1069.7,5431,54,6.0,0,0,1,1,1.0,9897,0.14,0.3599999999999999,-6.450447661067678e-05,43,3.0,0.0,1.0,0.0,0.0,1.0
1,7220,10911,131292,36,3647,1,13104,13412,False,1,31361.3,36635.11566265058,1000.0,-16763,1,0.0,0,0,1,1,1.0,12541,0.167,0.14,0.0111456629428699,40,3.0,0.0,0.0,1.0,0.0,1.0
1,6668,8129,74736,36,2076,45,9735,10043,False,45,33243.7,37912.99850746269,700.0,6362,45,2.0,85,19,7,5,0.535,8390,0.132,0.6100000000000003,0.0005390351271224,29,1.0,0.0,1.0,0.0,0.0,1.0
-1,5395,2176,299088,36,8308,67,2635,2635,False,67,19448.5,51992.85476190475,500.0,6720,67,4.0,38,25,8,6,0.631,8110,0.109,0.7800000000000002,-0.0015558111905255,28,1.0,0.0,1.0,0.0,1.0,0.0
1,6836,9093,189300,60,3155,47,10887,11195,False,58,24552.0,32354.031372549023,800.0,4278,58,6.0,98,16,7,4,0.636,8757,0.096,0.5700000000000003,0.0023725770400498,41,3.0,0.0,1.0,0.0,0.0,1.0
1,6064,5215,14628,12,1219,55,6301,6301,False,55,34917.4,32788.14215686275,200.0,6788,55,6.0,49,70,18,9,0.3389999999999999,8743,0.111,0.5500000000000003,0.0014964149717909,45,3.0,0.0,1.0,0.0,1.0,0.0
1,6919,9403,120888,36,3358,1,11266,11574,False,1,52014.4,40838.755208333336,600.0,5336,1,0.0,0,0,1,1,1.0,12541,0.167,0.14,0.0111456629428699,50,4.0,0.0,0.0,1.0,1.0,0.0
1,6841,9104,172080,48,3585,10,10900,11208,False,10,58209.4,60743.957142857136,200.0,8315,10,1.0,55,29,7,5,0.467,10124,0.141,-0.02,0.0054949828417531,37,2.0,0.0,1.0,0.0,1.0,0.0
1,6038,5120,323472,48,6739,1,6178,6178,False,1,72386.4,45414.07368421052,200.0,6015,1,0.0,0,0,1,1,1.0,12541,0.167,0.14,0.0111456629428699,54,4.0,0.0,1.0,0.0,1.0,0.0
1,6729,8519,74688,12,6224,23,10202,10510,True,23,28933.3,48484.62410714286,1100.0,-27064,23,7.0,21,11,7,9,0.855,8624,0.102,0.8700000000000001,0.0036490923025886,50,4.0,0.0,1.0,0.0,1.0,0.0
1,7198,10788,45768,12,3814,67,12952,13260,False,72,54427.5,32555.81851851852,800.0,6047,72,4.0,32,50,11,4,0.626,8994,0.11,0.9900000000000002,-0.0020519896339144,17,0.0,0.0,0.0,1.0,1.0,0.0
1,6686,8260,224604,36,6239,31,9890,10198,True,31,40287.4,57496.989247311845,200.0,-38368,31,7.0,34,12,4,4,0.5920000000000001,8930,0.108,0.6800000000000002,0.002416541617134,18,0.0,0.0,1.0,0.0,0.0,1.0
1,5836,4259,79632,24,3318,66,5133,5133,False,66,99262.5,63494.2,900.0,-28668,66,6.0,151,41,5,5,0.483,8512,0.102,0.6100000000000003,-0.0011443829868395,35,2.0,0.0,1.0,0.0,1.0,0.0
1,7061,10105,121896,24,5079,55,12124,12432,False,55,41917.2,54422.59677419356,600.0,2619,55,6.0,49,70,18,9,0.3389999999999999,8743,0.111,0.5500000000000003,0.0014964149717909,29,1.0,0.0,1.0,0.0,0.0,1.0
1,5595,3050,82896,12,6908,60,3687,3687,True,49,64300.6,57141.73095238094,900.0,-32945,49,2.0,31,28,6,9,0.608,8208,0.155,0.3699999999999999,0.006117460527185,23,1.0,0.0,1.0,0.0,0.0,1.0
1,5723,3674,23628,12,1969,38,4428,4428,False,38,64096.3,47420.84181818182,1000.0,9896,38,3.0,41,23,6,4,0.598,8965,0.104,1.1500000000000004,0.0019685039370078,41,3.0,0.0,1.0,0.0,0.0,1.0
1,6120,5481,209184,48,4358,52,6616,6616,False,1,44254.7,46230.33970588236,1000.0,-35828,1,0.0,0,0,1,1,1.0,12541,0.167,0.14,0.0111456629428699,41,3.0,0.0,1.0,0.0,0.0,1.0
1,6895,9307,41904,12,3492,68,11153,11461,False,70,39204.7,36080.38671328672,900.0,7501,70,4.0,0,2,13,7,0.899,10177,0.081,1.12,0.0008059231850084,20,1.0,0.0,1.0,0.0,0.0,1.0
1,5882,4427,87816,12,7318,32,5337,5337,True,1,15665.6,25533.21428571429,800.0,4420,1,0.0,0,0,1,1,1.0,12541,0.167,0.14,0.0111456629428699,33,2.0,0.0,1.0,0.0,0.0,1.0
1,5754,3834,23052,12,1921,54,4620,4620,True,54,28531.7,23771.966081871346,700.0,6644,54,6.0,0,0,1,1,1.0,9897,0.14,0.3599999999999999,-6.450447661067678e-05,54,4.0,0.0,1.0,0.0,1.0,0.0
-1,6594,7824,189696,24,7904,60,9367,9675,False,60,22500.0,14900.0,600.0,5625,60,6.0,49,41,5,4,0.519,8441,0.115,1.0300000000000002,0.0033712028777238,25,1.0,0.0,1.0,0.0,1.0,0.0
-1,6738,8566,230220,36,6395,74,10258,10566,False,74,6325.5,27658.48780487805,-2719.7,9114,74,4.0,0,0,1,1,1.0,10673,0.1,0.6900000000000004,-0.0013431315033809,52,4.0,0.0,1.0,0.0,1.0,0.0
1,6624,7965,71460,12,5955,55,9536,9844,True,55,53022.0,47991.53023255814,200.0,9617,55,6.0,49,70,18,9,0.3389999999999999,8743,0.111,0.5500000000000003,0.0014964149717909,49,3.0,0.0,1.0,0.0,0.0,1.0
1,6216,5952,141240,24,5885,50,7195,7195,False,50,45871.6,57219.5745098039,1000.0,-28136,50,2.0,75,33,5,6,0.52,8187,0.094,0.6200000000000001,0.0001072030718552,32,2.0,0.0,1.0,0.0,0.0,1.0
1,6229,6040,11736,24,489,1,7299,7299,False,1,26984.4,42224.43909774436,1100.0,7904,1,0.0,0,0,1,1,1.0,12541,0.167,0.14,0.0111456629428699,56,4.0,0.0,1.0,0.0,0.0,1.0
1,5887,4448,192744,36,5354,60,5366,5366,True,60,29019.1,37265.655263157896,700.0,1813,60,6.0,49,41,5,4,0.519,8441,0.115,1.0300000000000002,0.0033712028777238,23,1.0,0.0,1.0,0.0,1.0,0.0
1,6808,8982,227880,36,6330,64,10755,11063,True,64,53716.6,45134.721686747,1100.0,4132,64,6.0,29,41,12,10,0.747,9624,0.145,0.71,-0.001111116748436,39,2.0,0.0,1.0,0.0,1.0,0.0
1,6297,6363,17508,12,1459,74,7683,7683,False,12,48027.0,39290.61805555556,900.0,3201,12,1.0,84,29,7,6,0.58,8754,0.137,0.4799999999999995,0.0005933067581347,49,3.0,0.0,1.0,0.0,0.0,1.0
1,5161,1012,98184,24,4091,65,1216,1216,False,65,68956.1,41660.39285714285,500.0,-7305,65,6.0,101,41,5,4,0.437,8403,0.105,-0.0200000000000004,0.0049124343257443,49,3.0,0.0,1.0,0.0,1.0,0.0
1,5390,2167,170256,24,7094,16,2623,2623,False,16,43302.8,40091.18311688311,200.0,6834,16,5.0,74,21,11,8,0.569,8427,0.107,0.4199999999999999,0.0004151983903077,29,1.0,0.0,1.0,0.0,1.0,0.0
1,6150,5622,83016,12,6918,70,6789,6789,False,57,93620.2,67891.93520408162,700.0,9124,57,6.0,21,37,23,8,0.48,8720,0.116,0.77,-0.0004816182372772,16,0.0,0.0,1.0,0.0,0.0,1.0
1,6223,5991,61056,48,1272,1,7241,7241,False,57,33525.3,36039.0515625,900.0,5900,57,6.0,21,37,23,8,0.48,8720,0.116,0.77,-0.0004816182372772,37,2.0,0.0,1.0,0.0,1.0,0.0
1,5032,290,123696,48,2577,56,352,352,False,56,25187.2,49084.38196721312,300.0,5522,56,6.0,11,42,15,8,0.46,8772,0.126,0.29,0.002439709481963,54,4.0,0.0,1.0,0.0,0.0,1.0
1,6253,6148,59760,24,2490,74,7422,7422,True,74,41133.1,40204.46481481482,300.0,7306,74,4.0,0,0,1,1,1.0,10673,0.1,0.6900000000000004,-0.0013431315033809,36,2.0,0.0,1.0,0.0,0.0,1.0
1,6460,7133,48672,36,1352,1,8610,8610,True,55,23110.0,23050.189690721647,300.0,3513,55,6.0,49,70,18,9,0.3389999999999999,8743,0.111,0.5500000000000003,0.0014964149717909,47,3.0,0.0,1.0,0.0,1.0,0.0
1,6645,8041,140400,36,3900,1,9625,9933,False,74,28271.8,43563.62,400.0,2174,74,4.0,0,0,1,1,1.0,10673,0.1,0.6900000000000004,-0.0013431315033809,53,4.0,0.0,1.0,0.0,0.0,1.0
-1,5176,1106,192552,24,8023,20,1327,1327,False,20,22225.5,23979.011764705883,800.0,1481,20,5.0,94,14,4,4,0.584,8547,0.12,0.9900000000000002,-0.000297256744897,31,2.0,0.0,0.0,1.0,1.0,0.0
-1,5269,1527,164052,36,4557,31,1851,1851,False,31,20811.2,41752.161538461536,-2564.7,1734,31,7.0,34,12,4,4,0.5920000000000001,8930,0.108,0.6800000000000002,0.002416541617134,19,0.0,1.0,0.0,0.0,1.0,0.0
1,5351,1978,205200,36,5700,57,2403,2403,False,1,54586.0,58336.31162790698,900.0,-21594,1,0.0,0,0,1,1,1.0,12541,0.167,0.14,0.0111456629428699,32,2.0,0.0,0.0,1.0,1.0,0.0
1,5861,4337,51408,24,2142,29,5224,5224,False,29,49198.8,52299.2859375,900.0,3784,29,7.0,52,10,6,6,0.556,8843,0.113,0.7800000000000002,0.0015312595703723,45,3.0,0.0,1.0,0.0,0.0,1.0
1,5450,2345,199680,60,3328,5,2834,2834,False,52,19938.6,33658.61756756757,500.0,-16223,52,2.0,59,41,11,10,0.619,8363,0.108,0.9700000000000002,0.0016905015394354,46,3.0,0.0,1.0,0.0,0.0,1.0
